"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Country","Country ID"
,,,,,,,,,,,,,,,,,,,,,-1.1129062086,-1.1857033254,-1.2034869868,"Afghanistan","asafg"
,,,,,,,,,,-0.031906736,0.3400786011,0.2481104072,-0.0173232136,-0.5989671741,-0.5677933974,-0.5037877025,-0.6209948075,-0.6668600932,-0.547083644,-0.4562270776,-0.3540511542,-0.3371321344,-0.1921635473,"Albania","eualb"
-0.9943138987,-0.90091113,-1.0648020362,-0.8040640985,-0.9940741202,-0.9145421601,-1.0717649983,-0.9873999508,-1.011425404,-0.8761841125,-1.0507134248,-0.9742505897,-0.8580110985,-0.7314400407,-1.2270338067,-1.125058021,-1.2218008192,-1.0489170453,-0.9964345611,-1.0347035957,-1.04892317,-1.0424591668,-1.2063896651,-0.8777240205,"Algeria","afdza"
-1.0609768785,-2.1696905766,-2.1815987847,-2.3184563068,-2.3107294171,-1.9947772413,-1.9428819764,-1.5902183273,-1.7120831222,-1.7323747006,-1.9616512756,-1.8195824743,-1.738416327,-1.747615728,-1.7104034516,-1.5446263766,-1.5250306541,-1.5254723053,-1.5270010826,-1.5339774607,-1.5133778973,-1.5935179322,-1.4236978391,-1.4310391914,"Angola","afago"
0.3339878467,0.3122260774,0.3483301331,0.4132925821,0.3764341859,0.2869966984,0.2857984853,0.2653218028,0.2781366407,0.3290370017,0.3248377739,0.3362555195,0.3306879596,0.2949079065,0.3474077263,0.4239773354,0.4353780837,0.3991357817,0.2769236898,0.2221056447,0.1437364822,0.1421988972,0.0679716618,0.0743168512,"Argentina","saarg"
,,,,,,,,,,,,,,,0.1185267661,0.1064743649,0.0365875517,0.0078254359,-0.1587816459,-0.3331444402,-0.3430231716,-0.3385710384,-0.1905674989,"Armenia","asarm"
0.6424432689,0.5506973853,0.53112031,0.4771683533,0.4073530715,0.3050195067,0.1865257944,0.16953527,0.1190208868,0.1541419281,0.1062159772,0.0343857439,-0.0922260469,-0.1994911939,-0.0603960586,-0.0185825677,-0.0563472152,-0.0553649975,-0.0322339224,-0.1505977262,-0.1929566196,-0.2661855791,-0.3204629461,-0.4055197673,"Australia","ocaus"
1.4156051679,1.4405580854,1.4628911112,1.5220861703,1.5570392717,1.5438524162,1.5761701567,1.5455680309,1.5616390763,1.5391913084,1.5268639204,1.5405914039,1.5200398081,1.5533698681,1.5574146153,1.5549939226,1.5235081939,1.5395203671,1.5469239142,1.5525131881,1.5180160793,1.5536208436,1.5401381453,1.497664285,"Austria","euaut"
,,,0.1051372292,-0.0223272742,-0.1422550684,-0.2729232958,-0.1544238962,-0.3388365482,-0.2486095365,-0.541635312,-0.8140836109,-0.6177530691,-0.4311065145,-0.3361802646,-0.4323872565,-0.5049500935,-0.5800130791,-0.5230216551,-0.4365726637,-0.6141944197,-0.5156767555,-0.5371555737,-0.5187727135,"Azerbaijan","asaze"
-1.8283622417,-1.5785230311,-1.4241070264,-1.5286349653,-1.5839600452,-1.5860948497,-1.5322340141,-1.4170528785,-1.3201535537,-1.1316597437,-1.0538460755,-1.1185405537,-1.2259456121,-1.302313694,-1.3213578435,-1.2913311415,-1.1637454706,-1.3450533321,-1.4327913795,-1.3143736339,-1.214724152,-1.0871525187,-1.1403553759,-0.8452272489,"Bangladesh","asbgd"
0.6893816121,0.5949469997,0.5934411066,0.5800590813,0.5837457812,0.6324087083,0.7536504625,0.7258731451,0.7892003993,0.8275902782,0.8279911384,0.8659973045,0.8645568352,0.8559328576,0.8764550772,0.9264534903,0.9026560952,0.8923235704,0.7794642479,0.7640719041,0.7730312885,0.7815317239,0.7800574765,0.8369295376,"Belarus","eublr"
,1.1580228544,1.2134704826,1.2753073567,1.3347510001,1.356500714,1.3431015144,1.3408786591,1.2798885821,1.2719585513,1.2736553979,1.2554240897,1.3042774916,1.4027753013,1.4189235937,1.416231307,1.3516382363,1.391025555,1.3886598654,1.366778997,1.3318928235,1.2980832417,1.3415543243,1.2825304569,"Belgium","eubel"
,,,,,,,,,,,,,,,,,,,,,,,-0.6097047797,"Benin","afben"
,,-0.2723279389,-0.3395186309,-0.5534507003,-0.6713943222,-0.7236002808,-0.8721021149,-0.7929823897,-0.7674159294,-0.7194345816,-0.9376040441,-1.0182336829,-1.0532732363,-0.6131402675,-0.63257819,-0.6270800828,-0.8985657146,-0.9238114343,-0.8429401162,-0.9560636658,-1.0045370669,-0.9811479694,-0.9734782508,"Bolivia","sabol"
,,,,,,,0.2385919359,0.3593057075,0.3425337808,0.3899904765,0.4009686916,0.4056245196,0.4648445751,0.4431249222,0.4901995228,0.5131390504,0.4061892791,0.4399450192,0.5023535866,0.5387095583,0.5844957781,0.5140083002,0.6512948696,"Bosnia and Herzegovina","eubih"
,,,-0.2676675,-0.626020092,-0.6088400865,-0.6088019172,-0.8230831683,-0.8798352541,-0.8607164389,-0.586167191,-0.2217789595,-0.1532809402,-0.211334524,-0.2978012114,-0.5048696632,-0.3627424335,-0.3508538693,-0.52291971,-0.4084734773,-0.4032417004,-0.3936519631,-0.573681215,-0.6694180927,"Botswana","afbwa"
0.67819147,0.5946077441,0.5941702526,0.5698784326,0.6073510079,0.5763887158,0.6414176672,0.6646898067,0.6737060855,0.7522084737,0.7434378261,0.6582223932,0.6581968694,0.6968452016,0.7013525891,0.7328042228,0.6822098056,0.6714553872,0.5456733834,0.5235803859,0.5174110995,0.4499784978,0.4390391759,0.3302667015,"Brazil","sabra"
0.0536555121,0.1147506114,0.1462976089,0.1252259587,0.1137184552,0.0698423832,0.1564790408,0.1317055781,0.1834065657,0.283731152,0.3600333116,0.3731423748,0.3419147104,0.3734214216,0.4089313109,0.4524985946,0.4661177071,0.4241697618,0.425946857,0.4487818266,0.4515884501,0.4867061698,0.5247009749,0.6326147496,"Bulgaria","eubgr"
,,,,,,,,,,,,,-1.2051257496,-1.3205931746,-1.4502128165,-1.1109546703,-1.0962850264,-1.277142653,-1.4627701955,-1.5141479698,-1.4430973069,-1.6793505901,-1.7860289319,"Burkina Faso","afbfa"
,,,-1.4855516394,-1.5594742542,-1.6518084276,-1.4827254693,-1.443055853,-1.3638134016,-1.4060206344,-1.4664689837,-1.4963272414,-1.6344124007,-1.6723657737,-1.5427865634,-1.4982168645,-1.5104627771,-1.5018610406,-1.508986543,-1.2556847068,-1.1435012066,-1.0921085683,-1.1395724938,-0.8520656504,"Burma","asmmr"
,,,-1.5661072204,-1.6441111794,-1.6637514562,-1.6520295149,-1.7353850584,-1.6610210165,-1.4074641383,-1.3606707212,-1.3173462583,-1.4865931045,-1.5028414595,-1.4888633609,-1.3789765507,-1.2187961019,-1.1406489254,-1.1598586798,-0.9066274301,-0.9558692743,-0.9019854493,-0.9593801535,-0.642855721,"Cambodia","askhm"
-1.7110494184,-1.7940003442,-1.8756611552,-1.7204803009,-1.3719647346,-1.3025186097,-1.2184816609,-1.6412868234,-1.8575819874,-1.2657013652,-1.0767883205,-1.0481410214,-1.1342974904,-1.0246474095,-1.0585485413,-0.911587831,-0.7780809809,-0.7635775401,-0.7321161335,-0.9083878427,-1.1166154053,-1.1335887083,-1.2340669347,-1.3614595791,"Cameroon","afcmr"
1.1823040995,1.0426002718,1.0317428746,1.0707846867,1.0764269076,1.057598969,1.034314815,1.0053626937,0.9211558334,0.9025492642,0.8910246352,0.9360131866,0.9389533851,0.9437276615,0.9569038925,0.9468597379,0.9702872176,0.9820310674,0.9305659882,0.9127440122,0.9205349755,0.9364213714,0.9074886336,0.8992400969,"Canada","nacan"
,,,,,,,,-1.4476348507,-1.8235461044,-2.1648016399,-0.8740488877,0.2100905115,0.2034530492,-0.9333608229,-2.370518431,-2.1723270949,-2.2060063764,-1.2222916792,-1.537332453,,,,-1.9321428671,"Chad","aftcd"
0.2850059233,0.146704271,0.0666347164,0.0387318001,-0.0664163585,-0.1678175762,-0.2424186646,-0.2327010344,-0.2340878861,-0.2120826005,-0.2580082588,-0.2446500781,-0.2407894886,-0.192223882,-0.0756468925,-0.0297077151,0.0000608672,-0.090544514,-0.1450075769,-0.1980616608,-0.1534234389,-0.2051565597,-0.2220837783,-0.2223603154,"Chile","sachl"
-0.4612764101,-0.2836406313,-0.0853906216,-0.0311658339,-0.0226672757,-0.0102433558,0.2017506789,0.2321944565,0.398342471,0.5364970467,0.6794473619,0.6765049187,0.6984138339,0.7747264138,0.8175578211,0.8592337985,0.8617005639,0.8528274712,0.8184816973,0.8862469629,0.9253919279,0.9746274242,0.9741412891,1.0707649728,"China","aschn"
0.4903051907,0.6909166189,0.8644457684,1.0320735664,1.1199364893,1.2201571289,1.4033778893,1.4061230085,1.5233072974,1.564723572,1.6157246945,1.5910871054,1.6164496311,1.7292935076,1.8107050132,1.8475195768,1.7544342637,1.8087098009,1.8564091454,1.9239432597,1.9434473033,1.9881947336,1.9795420952,1.9288288848,"Chinese Taipei","asxxb"
-0.0475042507,-0.0294630621,-0.019357215,0.0591102542,0.0688820791,-0.0309297473,-0.0528197461,-0.1228981533,-0.0194243935,0.0197009567,-0.0231125629,-0.043151393,-0.043683775,0.010676004,0.0061976262,0.0786146279,0.1802939841,0.084812498,0.1117001802,0.1682853223,0.1814372096,0.1699364453,0.1476448392,0.1386951418,"Colombia","sacol"
-0.2813584648,-0.150395662,-0.0720367246,0.0415924017,0.0001304893,0.0367974208,-0.004214944,-0.0215693447,0.0530073364,0.1927494387,0.1262465142,0.0849154682,-0.0522981687,-0.0406693499,-0.010992142,0.1192056674,0.252253966,0.2964660465,0.2121213616,0.2111715281,0.1894983732,0.2300650607,0.1866697152,0.2435775865,"Costa Rica","nacri"
-1.3079403168,-1.4518166449,-1.0427622794,-0.7790466107,-0.737304922,-0.7566162896,-0.7137076381,-0.6542152181,-0.8257973686,-0.8128655682,-0.9631893038,-1.1206881867,-1.2224490202,-1.1675815845,-1.229738115,-1.1253265058,-0.9472483821,-0.8827714479,-0.9012461967,-0.9455502643,-1.0126588756,-1.0996305771,-1.0457367778,-1.1877994123,"Cote d'Ivoire","afciv"
0.3150918643,0.381103435,0.3681238969,0.3626229531,0.3276215776,0.3575016964,0.407682448,0.4295337232,0.4879689055,0.5681136741,0.6218197255,0.6269674368,0.6451497679,0.6354613352,0.7023493744,0.7389494351,0.7512995468,0.6776450173,0.7082078467,0.7009815287,0.7070991983,0.7503051288,0.7428212073,0.805860515,"Croatia","euhrv"
,-0.0462566406,-0.1584991781,-0.2280714013,-0.430508262,-0.303409761,0.0889783568,0.208034965,0.3601701841,0.3634191998,0.2275784535,-0.220485141,-0.1411196668,-0.1884244267,-0.1383278049,-0.0013974426,-0.0744400421,-0.2102486193,,,,,,,"Cuba","nacub"
0.9883133986,1.009230627,1.0733315331,1.1921297823,1.2726868656,1.3077614253,1.3439216964,1.3763836636,1.3797390385,1.4082529039,1.4450739695,1.5187680616,1.5208252796,1.6210176738,1.5981874177,1.6212193553,1.5937294524,1.597964022,1.6074317089,1.6165917947,1.6226196817,1.6307762799,1.5826847664,1.5641328144,"Czechia","eucze"
,,,,,,,,,-1.7287856428,-1.3497158394,-1.6426148841,-1.6607755549,-1.1044271283,-1.1444425162,-1.0896192482,-1.57161858,-1.3341399933,-1.5470928684,-1.3839956428,-1.488338404,-1.4383823393,-1.4746607163,-1.8098670883,"Democratic Republic of the Congo","afcod"
1.1378804168,1.1846580823,1.1908134085,1.1578072341,1.1568990799,1.1569302728,1.1544270589,1.098806246,1.0328481939,1.0202845379,1.0462732217,1.042884858,1.0368962317,1.0371291894,1.0524759189,1.0489208739,1.0255555143,1.0310946715,1.0185717567,1.0039882165,0.9723751738,0.9834257636,0.9759024257,1.0168503133,"Denmark","eudnk"
-1.0798048703,-0.7833060751,-0.6121420919,-0.586336923,-0.5874184112,-0.5460358371,-0.4828564575,-0.5331092633,-0.4485405315,-0.3402711313,-0.2570625122,-0.2336330901,-0.2374041969,-0.1891493449,-0.277446527,-0.2448807852,-0.1839838,-0.2196162771,-0.2665907118,-0.2164991268,-0.2255355979,-0.1167595195,-0.1459111716,-0.0043496258,"Dominican Republic","nadom"
-0.660511897,-0.7046620765,-0.7570650416,-0.7656431909,-0.8969332768,-0.9470492569,-1.0027753933,-0.9887083224,-0.8991520454,-0.6775804267,-0.8068015759,-0.9396419545,-0.808797782,-0.6831628031,-0.582949129,-0.6320514431,-0.6169353785,-0.7707966391,-0.9996336175,-0.9443635852,-0.8304268176,-0.9126744618,-0.9819097494,-0.8860450216,"Ecuador","saecu"
-0.7478880742,-0.6086090214,-0.5179840952,-0.5565124411,-0.5390419788,-0.5156408491,-0.3880748302,-0.3657027659,-0.3902586742,-0.3186173283,-0.2771170811,-0.2904378782,-0.3013479668,-0.3378587741,-0.3856756352,-0.2518509488,-0.1575782971,-0.1876349593,-0.1689609508,-0.0886903543,-0.1134503187,-0.1221606527,-0.1588711503,-0.0989093899,"Egypt","afegy"
-0.3647932376,-0.2107805421,-0.2816644662,-0.3685219765,-0.4228082528,-0.5165772323,-0.4433232664,-0.4433944971,-0.405903244,-0.2958333964,-0.2869299603,-0.3351898872,-0.3696930642,-0.3493180494,-0.3456865235,-0.2542257212,-0.1924099357,-0.2295335587,-0.2582539233,-0.0857152128,-0.1078713131,-0.0590481564,-0.1491689851,-0.0373549741,"El Salvador","naslv"
,,,,,,,,,,,,,-0.828043635,-0.998381043,-1.0262582646,-0.968702628,-0.9758347399,-0.9859163782,-0.8373596519,-0.6760360601,-0.7712229528,-0.8666159809,-0.7980474285,"Ethiopia","afeth"
1.6093248715,1.5541096598,1.586676964,1.6560223708,1.6717105079,1.6784205876,1.7301143909,1.7488422439,1.6954983364,1.6269186682,1.584419689,1.6536907015,1.6019167945,1.6114378623,1.5612930428,1.5744209537,1.545147895,1.5399406997,1.5047967448,1.4830269873,1.4733954649,1.4653696903,1.4842227595,1.4166275231,"Finland","eufin"
1.4347422558,1.3728488203,1.3777824398,1.4408718307,1.4617341745,1.5143679088,1.5147387334,1.4741683894,1.4021893432,1.3675666749,1.3884052465,1.407981479,1.4170777319,1.4492876148,1.456942742,1.4491659012,1.3827872126,1.3956957014,1.3951013068,1.3871477131,1.3705063124,1.3520712569,1.35268049,1.3458937033,"France","eufra"
-0.976769041,-1.2486625393,-1.0697834957,-1.3787322103,-1.612419542,-1.4917294767,-1.5966648028,-1.7094665709,-1.7004945737,-2.0425206939,-1.7053380324,-1.9460204264,-1.8769264258,-1.9756330735,-1.7332176626,-1.7856735156,-1.8347719064,-1.3465585628,-1.9024536953,-1.7088499216,-1.5231355982,-1.5061920435,-1.375684621,-1.4147194707,"Gabon","afgab"
,,,,,,,,,0.2586882327,0.0953636193,0.0391521145,0.025094417,0.0666103274,0.1460017164,0.089511776,-0.0002432546,0.0317340554,0.0268873093,-0.0106390252,0.0063353973,0.0515958462,-0.0525199928,-0.0097014467,"Georgia","asgeo"
1.7494093612,1.6963861096,1.7475841271,1.8318876413,1.8927571288,1.9278631785,1.9783918077,1.9533764061,1.8862197642,1.8157962237,1.8512692438,1.8832228064,1.8539387409,1.8996395996,1.9127686504,1.8990780659,1.8334994013,1.8851580371,1.9151969744,1.9062713714,1.8857450754,1.8890738864,1.8848835659,1.8072316084,"Germany","eudeu"
,-1.2722901505,-1.3545311222,-1.2324287572,-1.4232662769,-1.3484383309,-1.2358824652,-1.1508040714,-1.3566904169,-1.1759129336,-1.1037450045,-1.2881736178,-1.2051176907,-1.0362321749,-1.0035980761,-0.9257245263,-0.9609362652,-0.9028559896,-0.9793795625,-1.0767757652,-1.3035165199,-1.3198422093,-1.2923209536,-1.2665464585,"Ghana","afgha"
0.103151275,0.2082830509,0.2387670869,0.2513509632,0.2406295441,0.2351321934,0.2415438156,0.224304354,0.212064617,0.2724003443,0.2403856977,0.2252247255,0.2242674625,0.2183758655,0.2097449879,0.2546642777,0.301397937,0.2598704094,0.2595037462,0.3335793562,0.2749501184,0.2602642827,0.2555522905,0.3220463659,"Greece","eugrc"
-0.4857908397,-0.4295761465,-0.3434467735,-0.4620057312,-0.4358552021,-0.3870051248,-0.3535443933,-0.4529408597,-0.4425455908,-0.3517857916,-0.3400796351,-0.4665474382,-0.5395987659,-0.5156192671,-0.48973543,-0.4650159332,-0.3493233881,-0.3659256934,-0.4104057027,-0.3249777103,-0.3615947777,-0.3223788475,-0.3842955146,-0.2370426853,"Guatemala","nagtm"
,,,,,,,,,-1.6862137095,-2.0227302682,-2.089897491,-1.8623904436,-1.7704941087,-1.9665344469,-1.6131752169,-1.5988521907,-1.3665192198,-1.6382658121,-1.5793496635,-1.716308095,-1.6378752039,-1.6714268892,-1.8447473281,"Guinea","afgin"
-0.9989900129,-0.8194561121,-0.8051759427,-0.9324269437,-1.036602945,-1.0422028375,-0.8991594169,-0.9617553467,-0.926290065,-0.71748341,-0.6797641422,-0.7468578807,-0.7700697326,-0.8078382113,-0.7327542235,-0.6393450443,-0.5429272882,-0.5942952279,-0.5838503929,-0.6084966074,-0.5240510114,-0.548188147,-0.5992570155,-0.4991155167,"Honduras","nahnd"
-0.4434728561,-0.1826458666,0.0164111229,0.0679805951,0.1275605348,0.1441739359,0.2746289863,0.3165805549,0.4149543888,0.5116348617,0.6716586302,0.664930231,0.672889057,0.7703387222,0.8376936563,0.8533432405,0.8115744469,0.8637138398,0.9199050049,0.9507432984,0.9990353754,1.0357610357,1.1026203972,1.1558363568,"Hong Kong","ashkg"
0.5629741436,0.6496987109,0.7106036373,0.8013299103,0.8539542689,0.9340911078,1.0110441487,1.0144362742,1.1287019717,1.1794638179,1.2594751605,1.3013996928,1.2923520506,1.3911456111,1.3767892201,1.3773042292,1.3972734253,1.4004818984,1.428204257,1.4217725971,1.4277575496,1.4140521861,1.4125583725,1.3597769149,"Hungary","euhun"
-0.1750540092,-0.0974109861,-0.016879664,0.0700008122,0.0608468748,0.0901316775,0.1535388188,0.203120229,0.2220619307,0.2785084196,0.3089999101,0.3014106035,0.2801124919,0.2877849748,0.3406602668,0.3563549012,0.3542838703,0.4051464247,0.4095581091,0.4765745783,0.4785099447,0.5207108128,0.5613776815,0.6090177618,"India","asind"
-0.840555585,-0.6755761326,-0.5512495454,-0.4840449636,-0.4855925729,-0.4824629516,-0.3770009528,-0.3839859958,-0.313466137,-0.1722304538,-0.1599681245,-0.2060280013,-0.2938099367,-0.3165209725,-0.3319288469,-0.2876798468,-0.2141095748,-0.2074267886,-0.1677258647,-0.1588381229,-0.1290468209,-0.0613400683,-0.0742926089,0.0423037009,"Indonesia","asidn"
-0.2023298045,-0.3595700363,-0.4654550976,-0.3777654775,-0.5095929118,-0.5349779835,-0.3785722253,-0.3205562566,-0.1977834254,-0.2183017715,-0.3317957754,-0.328370055,-0.2778657662,-0.1704283672,-0.1276481301,0.0114754141,0.1033574099,0.097119066,0.0212583901,-0.0260940027,-0.0540230475,-0.1035157474,-0.1136794792,-0.0905504034,"Iran","asirn"
-1.9429600119,-2.8489143661,-2.6044995692,-1.2751517791,-1.3343131809,-0.2724400949,-0.9527599597,-0.9076647401,-1.280616664,-1.6896212692,-1.668672832,-1.6818416866,-1.6450876889,-1.7079969181,-1.5747241255,-1.2660958068,-1.3009260626,-0.5708900735,-0.8026126019,-0.9304771116,-0.822608865,-0.5465513059,-0.6714420934,-1.1235015698,"Iraq","asirq"
1.3885907629,1.4067610036,1.4426326335,1.5350507909,1.6295604674,1.6597031184,1.6330564364,1.646685351,1.4755816832,1.4004131191,1.3256713187,1.3641100344,1.3586658541,1.3026651151,1.4048829022,1.3721581789,1.3154952498,1.3326790361,1.3545167545,1.3895141823,1.2728587674,1.2674709258,1.3087241203,1.2889731547,"Ireland","euirl"
1.0436296714,1.0521311072,1.1798857633,1.191224124,1.2733935952,1.2131443758,1.2388743907,1.1609111252,1.104544992,1.2103810467,1.2499399123,1.17686159,1.2399438591,1.2539973959,1.2585720958,1.2180903225,1.2417542747,1.2592947839,1.2297627626,1.2336779385,1.1848607614,1.1555446792,1.1537235486,1.2128864798,"Israel","asisr"
1.1153137275,1.1421570465,1.1914191015,1.259498115,1.248187252,1.2181943725,1.2447680779,1.2299918706,1.2472797917,1.2518841376,1.260544419,1.3013251752,1.2664422566,1.3287745432,1.3085361639,1.3108973149,1.2993502037,1.3008882068,1.2938929525,1.3040387288,1.3041278748,1.3254505623,1.3065323342,1.2714062805,"Italy","euita"
-0.9727247647,-0.7861681004,-0.6675601129,-0.725448487,,,-0.6212396318,-0.504277621,-0.4644413521,-0.3636773142,-0.3544266821,-0.2785805712,-0.3003754054,-0.2191248946,-0.2356456056,-0.3601832378,-0.2643681991,-0.2870835422,,,-0.2694729939,-0.2866226953,-0.3732275434,-0.2276826803,"Jamaica","najam"
1.7065740507,1.680443077,1.8054460996,1.9170520284,1.9378394685,1.9961258922,2.1508919196,2.1275313689,2.1318003271,2.065159961,2.1103416253,2.1154556523,2.1204070948,2.2312909214,2.2606917403,2.2209120559,2.1221162938,2.1495399625,2.1928621568,2.1823818038,2.2073382308,2.2039856728,2.1908829483,2.0619684741,"Japan","asjpn"
0.3131568391,0.4449450973,0.3466515849,0.2729369264,0.1761310251,0.0170951473,-0.0703139414,-0.2285381559,-0.1397799191,-0.1197955436,-0.0436629023,-0.0625280613,0.0040156593,-0.0079286981,-0.0013850412,0.0524627455,0.0901603603,0.0338631304,-0.0398904919,-0.046245888,-0.0367354315,-0.0243993888,-0.0785237083,0.0270801776,"Jordan","asjor"
0.3391399636,-0.085578594,-0.2483607298,-0.1515042217,-0.2750496679,-0.3895024371,-0.5159176636,-0.5290776476,-0.436640841,-0.4069791065,-0.4126678427,-0.3606136796,-0.4205613519,-0.3112715196,-0.1516058395,-0.0461802195,-0.0728564688,-0.0692607442,-0.0758319201,-0.1625436227,-0.2244962861,-0.2706530426,-0.2447653303,-0.2816521138,"Kazakhstan","askaz"
-0.1514887132,-0.1820299553,-0.1905280147,-0.2218826173,-0.3286480633,-0.4458462901,-0.5129481286,-0.4672087824,-0.3828116679,-0.285479471,-0.300096552,-0.3881634199,-0.4067785952,-0.495707748,-0.5345139494,-0.5251051394,-0.3933492794,-0.461575439,-0.5840483175,-0.5647896243,-0.4730005187,-0.4783258996,-0.4886938567,-0.4587326996,"Kenya","afken"
-0.541430958,-0.5225750028,-0.6253221187,-0.3381886088,-0.3244707166,-0.4615564996,-0.4096391972,-0.4495551875,-0.3737869951,-0.4094024408,-0.2725637812,-0.0247642563,0.340609318,0.1425484967,0.2158693457,0.222281594,0.2358268065,0.2756314731,0.1681825617,0.189085068,0.1235085472,-0.042693132,0.036945149,0.3422435722,"Kuwait","askwt"
,,,,,,,,,,,,,-0.3495259903,-0.2797230983,-0.1854613432,-0.1277260324,-0.0674487394,-0.0634995923,-0.0163660834,-0.0788678929,-0.172397694,-0.2123830258,-0.117329247,"Kyrgyzstan","askgz"
,,,,,,,,,,,,-1.2165122663,-1.3172109882,-1.3593596288,-1.2384795905,-1.1399640925,-1.0832551886,-1.1139224556,-0.9694372519,-0.9890439537,-0.9424176038,-0.9731787202,-0.703949267,"Laos","aslao"
,,,,,,0.2099672215,0.2522593062,0.3098891352,0.3376167669,0.390650047,0.3593670104,0.3631672208,0.3106672295,0.2624738948,0.2855805289,0.3693722954,0.354479998,0.2989363778,0.3042004158,0.270738206,0.2716283983,0.2703082782,0.345760741,"Lebanon","aslbn"
-1.0716129383,-0.9817901615,-1.2986387116,-0.8191164597,-0.9399317896,-0.9832385958,-0.7547213516,-0.8739617721,-0.7811243636,-0.870884288,-1.0194504583,-0.9885550131,-0.5838609174,-0.1207048827,-0.282458165,-1.0862656684,-1.5411786099,-1.3477319094,-0.9594807851,-0.8830728591,-1.2810926099,-1.4271329794,-1.4101403735,-1.1800240595,"Libya","aflby"
0.0428174868,0.1004055081,0.0787073073,0.0593160062,0.0100967839,-0.0185056846,0.0606564033,0.1881616643,0.3232099583,0.4979690147,0.5657004888,0.5590891915,0.503965115,0.5412923498,0.6470680357,0.6978765323,0.7484994097,0.7274230048,0.7608856486,0.7861528744,0.8539126366,0.9001604406,0.9057460598,0.9147313238,"Lithuania","eultu"
,,,,,,,,,,,,,,,-1.1246340746,-1.1674355838,-1.2250377514,-1.3330604005,-1.2562873439,-1.2753408638,-1.2377715776,-1.2216442614,-1.0654846731,"Madagascar","afmdg"
,,,,,,,,,,,,,,,-0.9152437379,,,,,,,,,"Malawi","afmwi"
-0.2468455057,-0.0566697587,0.0653361135,0.2933027101,0.4654227956,0.5114534035,0.6781452409,0.6033559808,0.6807428869,0.7779605259,0.8428423072,0.8298329164,0.8408526397,0.942022582,1.01378309,1.0794309855,1.025144011,0.9594124039,1.0015040689,1.0227221151,1.0200445138,1.0183914957,1.0330139215,1.0874854817,"Malaysia","asmys"
,,,,,,,,,,-0.6347858601,,,-0.7608338763,-0.7048614441,-0.7345616459,-0.8761468994,-1.2340063237,-1.0370107638,-0.8372181962,-0.7806307095,-0.8693261761,-1.0665979477,-1.5335507219,"Mali","afmli"
,,,,,,,,,-1.3515142048,-1.3488482407,-1.3366670291,-1.6253931506,-1.1941386776,-1.1555341812,-1.2185637686,-0.9709425772,-0.9963501536,-0.8260419663,-1.0235583565,-1.1553366473,-1.2022590003,-1.3390880103,-1.3194779296,"Mauritania","afmrt"
0.3873176656,0.468291288,0.6004517121,0.6965996724,0.7456858851,0.8116060613,0.8877874221,0.8727558653,0.8456598399,0.8858551588,0.9856180472,0.9787405432,0.9977280279,1.0881532835,1.1023425888,1.1453421846,1.1225890598,1.1537136795,1.1878001284,1.1978019177,1.1639005776,1.152926712,1.1522082214,1.0909375212,"Mexico","namex"
,,,,,,,,,-0.0497510128,-0.0318153234,-0.0309386759,-0.1083433957,-0.1736732597,-0.1269961279,-0.046653055,-0.0346092309,-0.1273627855,-0.2204993697,-0.2236450336,-0.159809777,-0.1729051177,-0.1417553589,-0.0171815841,"Moldova","eumda"
,,,,,,,,,-1.1573595632,-1.1058086088,-0.9819735094,-0.906146292,-1.0376258183,-0.8149257716,-0.9153968305,-0.9408330891,-0.9633396367,-0.8184473371,-0.8755324998,-0.9579574062,-1.0613228634,-1.2066348812,-1.2267883663,"Mongolia","asmng"
-1.1310093788,-0.9297204251,-0.7912643664,-0.8307618805,-0.8978307428,-0.931869173,-0.8200447599,-0.8738115175,-0.7750169616,-0.6798245902,-0.6593299699,-0.6407983091,-0.655484409,-0.6903712174,-0.6993028026,-0.7014079113,-0.6164436767,-0.7114322695,-0.7333450142,-0.675844132,-0.651641892,-0.5028678953,-0.4863927796,-0.2821220928,"Morocco","afmar"
,,,,,,-0.8673943319,-0.829889992,-0.9879917467,-1.0169461967,-1.1445421864,-0.9586823834,-1.0514874739,-1.0637109933,-1.1915698622,-1.0276891223,-1.1659100586,-1.0906350805,-1.232979288,-1.2977773913,-1.2754820766,-1.2405223931,-1.2485046793,-1.3640428767,"Mozambique","afmoz"
,,,,-0.3375315984,-0.3243569957,-0.4116381137,-0.45344851,-0.4946973573,-0.5615852686,-0.5204091258,-0.5096080302,-0.3959092431,-0.5793187138,-0.4957628594,-0.5022841491,-0.2392888204,-0.2601224607,-0.3886031295,-0.5866592064,-0.5999386047,-0.6590201524,-0.7179497451,-0.7688549114,"Namibia","afnam"
1.257417347,1.2030314891,1.2367278206,1.3189422652,1.3015241811,1.3005870966,1.2930579369,1.2279072311,1.2121272031,1.2628379775,1.2583227919,1.1623146702,1.176014349,1.2003493863,1.2166558646,1.2240863463,1.1811390084,1.1779695756,1.1990084863,1.1815545807,1.1503910659,1.1190216247,1.1131681267,1.0929040758,"Netherlands","eunld"
