,lower,upper,estimate
delphi,-0.01001675655620201,0.05494473948375552,0.022463991463776756
cuda,-0.036263851476620465,0.0767384162701093,0.020237282396744414
fortran,-0.02758942022169415,0.04317924074241082,0.007794910260358338
vbscript,-0.02057586489474813,0.03562230708908258,0.007523221097167226
objective-c,-0.009525031967952506,0.018357153391623852,0.004416060711835673
actionscript,-0.032008298887548456,0.030630544681809938,-0.0006888771028692574
twig,-0.023606603742377497,0.014884989661088616,-0.0043608070406444405
coldfusion,-0.025805398702572074,0.014110388868430645,-0.005847504917070714
gdb,-0.04957746731843449,0.028118539731846023,-0.010729463793294234
scheme,-0.04773312793571724,0.025538430542702092,-0.011097348696507576
clojure,-0.041112341279766006,0.01879971323447601,-0.011156314022644997
tsql,-0.0360575167455851,0.010298640890183378,-0.01287943792770086
arduino,-0.05792846889556822,0.02890777364778265,-0.014510347623892784
hive,-0.03595745703224537,0.005604341012674112,-0.015176558009785629
erlang,-0.052353607321546584,0.020522447338532417,-0.015915579991507084
matlab,-0.04208923790353438,0.0044523866319615135,-0.018818425635786434
vb.net,-0.04333081719694598,0.0042666301625730214,-0.019532093517186478
f#,-0.05424610768462866,0.01168345730831015,-0.021281325188159256
perl,-0.04597851284652689,-0.00023407043759358578,-0.02310629164206024
swift,-0.04749368421830559,-0.002102896014789645,-0.024798290116547616
php,-0.04093940825551269,-0.0091947332540941,-0.025067070754803397
elixir,-0.05452628811715948,-0.0035342559192435737,-0.029030272018201526
coffeescript,-0.05653639168485075,-0.005231741683560907,-0.03088406668420583
asp.net,-0.053935204426811614,-0.012242511791853077,-0.03308885810933235
makefile,-0.06922449792372995,0.002780072700771914,-0.03322221261147902
scala,-0.055205405169061,-0.01303848282762951,-0.034121943998345255
ruby,-0.055714490469064626,-0.015377258463251057,-0.03554587446615784
click,-0.08257750027598967,0.008822383621832117,-0.03687755832707878
cucumber,-0.062441748646897825,-0.011509529274795254,-0.03697563896084654
qml,-0.0627045868267069,-0.011840135308554638,-0.03727236106763077
java,-0.05820036501173064,-0.01665634263282193,-0.037428353822276286
vba,-0.05524648242679335,-0.023322435625156998,-0.039284459025975174
max,-0.08084454778696101,0.00196244521912408,-0.03944105128391846
xslt,-0.06782057185185353,-0.012181682930012202,-0.04000112739093287
gradle,-0.09020022316220896,0.0063203058359393785,-0.041939958663134796
sas,-0.07539890859350673,-0.00890464082623093,-0.04215177470986883
applescript,-0.08832753089334092,0.003926059080625405,-0.042200735906357756
haskell,-0.06499141226393786,-0.02198365747413715,-0.0434875348690375
awk,-0.08423785940291159,-0.009904573619374163,-0.04707121651114288
groovy,-0.07713873472285916,-0.019133980540180662,-0.04813635763151991
sed,-0.08515310671799645,-0.01592633251883279,-0.050539719618414615
c#,-0.07553647185164439,-0.03536091779331195,-0.05544869482247817
prolog,-0.09162625653973072,-0.022948094867805933,-0.057287175703768324
sass,-0.0969964490719136,-0.021460687755631848,-0.05922856841377273
c++,-0.09947436879496613,-0.02175860420334358,-0.060616486499154854
io,-0.09400240395289622,-0.02806973086958637,-0.0610360674112413
lua,-0.10167440261969302,-0.02245068561025651,-0.06206254411497476
cmake,-0.09994036267893106,-0.025037222268242586,-0.06248879247358682
nginx,-0.10512954203657657,-0.020097866978775324,-0.06261370450767595
sql,-0.09269643896796825,-0.03883645818403486,-0.06576644857600156
vue.js,-0.11244563508645217,-0.020941966423151943,-0.06669380075480205
dockerfile,-0.11384120656560606,-0.023192496893768733,-0.0685168517296874
julia,-0.11760048257285649,-0.020867692705150466,-0.06923408763900347
assembly,-0.11645619314239464,-0.026084704904079152,-0.0712704490232369
shell,-0.10350396016391943,-0.04127584377010331,-0.07238990196701137
rust,-0.09210629635427575,-0.0527746197052737,-0.07244045802977472
c,-0.12041238269316769,-0.027304749406136322,-0.073858566049652
plsql,-0.11668857091371297,-0.031198295623204322,-0.07394343326845865
html,-0.11693020445660654,-0.052677517797203505,-0.08480386112690502
css,-0.13988916988543465,-0.0681357621057104,-0.10401246599557253
kotlin,-0.15907612082572262,-0.06366868647104088,-0.11137240364838175
javascript,-0.153197371783027,-0.07709162898747268,-0.11514450038524984
go,-0.16532130440989404,-0.07312439107560567,-0.11922284774274985
dart,-0.1476784911088575,-0.09306686561282075,-0.12037267836083912
jupyter-notebook,-0.1812788477374777,-0.07967515553386977,-0.13047700163567374
powershell,-0.17598797076682718,-0.09519706913070422,-0.1355925199487657
r,-0.18882018275305404,-0.0898248863239762,-0.13932253453851512
python,-0.22244103281615668,-0.11272468452266536,-0.16758285866941103
typescript,-0.24011276656387093,-0.1427166564908151,-0.19141471152734302
