"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country","Country ID"
,,,,,,,,,,,,,,,,,,,,,-1.1292032642,-1.1996069356,-1.1975414453,-1.1291996475,"Afghanistan","asafg"
,,,,,,,,,,-0.0250760182,0.349914548,0.2453935696,-0.010526657,-0.6028703209,-0.5695865405,-0.4887742349,-0.5833245941,-0.6869513107,-0.5950636147,-0.4574903398,-0.3837030477,-0.3240915737,-0.1804324231,-0.2381970295,"Albania","eualb"
-1.0318033721,-0.8780317872,-0.9913843032,-0.762604447,-1.0155034018,-0.9213130358,-1.1189335839,-1.0338396014,-1.0187362666,-0.929963073,-1.0002705083,-0.9871054899,-0.8452782031,-0.7433024032,-1.2042536997,-1.1772921464,-1.2446468029,-1.0533806094,-0.9944852696,-1.0344781476,-1.0413378329,-1.0633536794,-1.3013605664,-0.9136819547,-0.6398145229,"Algeria","afdza"
-1.2494037711,-1.9374619924,-1.9478441197,-1.9368066857,-2.3335187893,-2.0910834959,-1.9151880376,-1.6211242485,-1.6932040947,-1.7807110869,-1.8687353026,-1.8191427232,-1.7259826917,-1.7987129879,-1.7910894741,-1.6011240447,-1.6280719952,-1.5591586132,-1.3977206031,-1.5416609258,-1.5713456765,-1.6228596104,-1.4124278744,-1.2953798639,-1.5450103939,"Angola","afago"
0.3463818859,0.3104354326,0.3545333346,0.4141032334,0.3798949149,0.2888544847,0.2861419659,0.2691916708,0.3027958543,0.3289313551,0.3310818574,0.3552326011,0.3572827566,0.2987376253,0.3538033333,0.4140335114,0.4500981641,0.43057428,0.2811213159,0.2044419852,0.1385977362,0.1468471177,0.0958574815,0.0239899578,0.0635831896,"Argentina","saarg"
,,,,,,,,,,,,,,,0.1308251232,0.1046137455,0.0620706856,-0.0215655658,-0.2182225419,-0.3119221249,-0.3604680853,-0.2879228767,-0.1429027803,0.000814166,"Armenia","asarm"
0.6106791993,0.5494304976,0.5438296873,0.4816368398,0.4082875188,0.2826618487,0.1875189593,0.1382621128,0.1121437874,0.1694950561,0.1174636479,0.0447960769,-0.0729366617,-0.1856677048,-0.0461796918,0.0028118198,-0.0447672993,-0.0887032785,-0.0655134772,-0.172481275,-0.1781876625,-0.2803042332,-0.3342054545,-0.4311848328,-0.2398633583,"Australia","ocaus"
1.4022666787,1.4665312581,1.4868586085,1.4709873916,1.5913796839,1.5719696916,1.5956831493,1.5704942376,1.5684363421,1.5365010638,1.5196854647,1.5238578562,1.5340314078,1.5656339792,1.5649662631,1.553072409,1.5318868101,1.5523469002,1.5600699929,1.5611946788,1.5231228859,1.5672831994,1.5430366237,1.5056222588,1.4995377097,"Austria","euaut"
,,,0.1236577685,-0.0635068818,-0.1613384389,-0.2627341252,-0.1992088346,-0.3355751488,-0.2663020494,-0.5495453566,-0.8209633457,-0.6277599797,-0.5295885633,-0.356994195,-0.4522797467,-0.5132952164,-0.5582079967,-0.5103820121,-0.447572548,-0.6011666821,-0.533200427,-0.4773186963,-0.450487148,-0.4415541286,"Azerbaijan","asaze"
-1.6794650696,-1.615861157,-1.4677471048,-1.4593519734,-1.5913653143,-1.6093587929,-1.5485735077,-1.4460232866,-1.3664433945,-1.0998964432,-1.0478617398,-1.0814472778,-1.2596198488,-1.2986809544,-1.3142958376,-1.2988124381,-1.138227231,-1.3224394298,-1.4734079504,-1.3838358396,-1.2399170901,-1.1406825205,-1.1303912488,-0.8512688572,-0.8176434813,"Bangladesh","asbgd"
