Row,cat1000,cat1101,cat1102,cat1103,cat1104,cat1105,cat1106,cat1107,cat1108,cat1109,cat1110,cat1111,cat1201,cat1202,cat1204,cat1205,cat1206,cat1207,cat1208,cat1209,cat1210,cat1211,cat1212,cat1213,cat1301,cat1302,cat1303,cat1304,cat1305,cat1306,cat1307,cat1308,cat1309,cat1310,cat1311,cat1312,cat1313,cat1314,cat1315,cat1401,cat1402,cat1403,cat1404,cat1405,cat1406,cat1407,cat1408,cat1409,cat1410,cat1501,cat1502,cat1503,cat1504,cat1505,cat1506,cat1507,cat1508,cat1601,cat1602,cat1603,cat1604,cat1605,cat1606,cat1607,cat1701,cat1702,cat1703,cat1704,cat1705,cat1706,cat1707,cat1708,cat1709,cat1710,cat1711,cat1712,cat1801,cat1802,cat1803,cat1804,cat1901,cat1902,cat1903,cat1904,cat1905,cat1906,cat1907,cat1908,cat1909,cat1910,cat1911,cat1912,cat1913,cat2001,cat2002,cat2003,cat2101,cat2102,cat2103,cat2104,cat2105,cat2201,cat2202,cat2203,cat2204,cat2205,cat2206,cat2207,cat2208,cat2209,cat2210,cat2211,cat2212,cat2213,cat2214,cat2215,cat2216,cat2301,cat2302,cat2303,cat2304,cat2305,cat2306,cat2307,cat2308,cat2309,cat2310,cat2311,cat2312,cat2401,cat2402,cat2403,cat2404,cat2405,cat2406,cat2501,cat2502,cat2503,cat2504,cat2505,cat2506,cat2507,cat2508,cat2509,cat2601,cat2602,cat2603,cat2604,cat2605,cat2606,cat2607,cat2608,cat2609,cat2610,cat2611,cat2612,cat2613,cat2614,cat2701,cat2702,cat2703,cat2704,cat2705,cat2706,cat2707,cat2708,cat2709,cat2710,cat2711,cat2712,cat2713,cat2714,cat2715,cat2716,cat2717,cat2718,cat2719,cat2720,cat2721,cat2722,cat2723,cat2724,cat2725,cat2726,cat2727,cat2728,cat2729,cat2730,cat2731,cat2732,cat2733,cat2734,cat2735,cat2736,cat2737,cat2738,cat2739,cat2740,cat2741,cat2742,cat2743,cat2744,cat2745,cat2746,cat2747,cat2748,cat2801,cat2802,cat2803,cat2804,cat2805,cat2806,cat2807,cat2808,cat2809,cat2901,cat2902,cat2903,cat2904,cat2905,cat2906,cat2907,cat2908,cat2909,cat2910,cat2911,cat2912,cat2913,cat2914,cat2915,cat2916,cat2917,cat2919,cat2920,cat2922,cat2923,cat3001,cat3002,cat3003,cat3004,cat3005,cat3101,cat3102,cat3103,cat3104,cat3105,cat3106,cat3107,cat3108,cat3109,cat3110,cat3201,cat3202,cat3203,cat3204,cat3205,cat3206,cat3207,cat3301,cat3302,cat3303,cat3304,cat3305,cat3306,cat3307,cat3308,cat3309,cat3310,cat3311,cat3312,cat3313,cat3314,cat3315,cat3316,cat3317,cat3318,cat3319,cat3320,cat3321,cat3322,cat3323,cat3399,cat3401,cat3402,cat3403,cat3404,cat3501,cat3502,cat3503,cat3504,cat3505,cat3506,cat3601,cat3602,cat3603,cat3604,cat3605,cat3606,cat3607,cat3608,cat3609,cat3610,cat3611,cat3612,cat3613,cat3614,cat3615,cat3616,cat3699
AFG,76,0,97,12,0,8,0,0,0,20,8,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,38,34,4,0,4,0,22,14,38,0,14,0,0,4,0,0,0,0,0,0,0,137,0,0,30,37,0,0,0,22,13,0,13,77,37,13,1,3,43,1,74,103,0,23,0,4,32,47,0,1,0,93,12,198,0,70,0,0,0,15,47,0,0,21,0,0,18,0,70,93,72,0,113,81,89,7,89,72,70,122,208,152,169,87,0,42,5,72,0,73,8,36,0,0,0,0,93,0,131,0,75,0,0,2,1,93,52,49,0,0,0,0,16,0,0,0,17,0,0,38,0,2,0,0,0,0,56,9,110,40,195,0,0,0,0,0,0,2,0,0,0,0,27,2,0,0,0,0,93,25,0,4,24,5,362,221,0,1186,20,62,0,5,0,4,2,56,0,22,116,0,27,0,20,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,306,38,0,2,0,6,1,0,0,0,8,0,37,7,0,0,0,0,0,2,0,0,5,6,20,5,0,1,22,14,30,0,0,2,0,2,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,675,21,39,1,184,232,69,24,14,29,49,133,19,21,0,0,0,435,0,0,0,5,0,2,15,55,61,75,75,84,191,0,113,60,44,147,215,33,0,63,4,18,36,41,3,0,28,11,0,122,7,141,0,0,0,0,0,174,25,82,113,209,120,114,32,25,0,0,153,271,11,86,11,78,13,52,11,6,2,0,0,79,0,50,0,0,70,17,18,101,4,0,11,120,81,53,0,11,0,8,49,12,0,16,99,31,0,99,119,35,7,0,0,59,12,19,3,16,0,95,14,101,17,58,62,98,77,19,11,64,0,192,29,38,25,68,7,3,0,80,3,29,6,75,16,5,0,81,0,6,6,0,2,0,3,0,0,2,4749,0,4,0,29,23,14,1,0,0,72,60,14,0,59,0,55,2,110,3,0,4,145,53,696,127,71,16,250,107,0,2,24,4,48,69,30,75,208,124,28,233,234,0,3,144,66,0,2,0,0,20,0,0,0,36,0,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,32,0,0,0,0,0,32,77,24,307,17,9,4,1,6,27,7,0,13,0,6,13,0,0,39,22,0,0,11,1,1,40,81,25,11,5,9,0,18,67,37,4,20,13,21,9,0,28,3,44,0,6,96,0,5,0,145,0,0,131,34,0,0,0,0,0,2,0,0,0,0,0,21,2,0,0,0,0,30
DZA,1170,517,581,255,508,528,1288,61,96,367,704,592,5,7,23,0,54,3,3,1,0,1,0,2,351,107,1758,155,730,1173,528,85,13,125,373,1128,883,264,199,109,0,25,133,111,74,0,487,3,0,3181,693,720,2,247,145,986,523,4103,1353,404,737,1802,1644,640,1710,2580,1233,150,3130,4991,987,2210,390,1344,1900,3646,139,386,185,173,776,199,14,119,22,563,647,140,522,310,61,435,27,48,291,0,1566,3820,2591,533,5325,1774,718,437,419,3237,83,4669,9353,2421,4705,2503,491,896,357,2441,116,778,124,190,1557,1289,92,645,754,64,1940,961,1695,170,498,550,890,259,81,4628,528,723,3912,2270,1632,840,1472,914,1100,160,302,2937,584,2235,247,105,37,200,1737,318,547,573,11269,0,1,37,294,60,514,36,0,0,0,121,258,0,52,47,0,225,20,194,38,17,436,89,761,489,0,1269,18,1205,825,50,0,36,86,137,245,18,278,1445,176,0,11,0,99,66,110,8,87,16,0,90,226,0,15,26,72,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,132,704,553,858,367,2334,327,351,5846,2275,219,2829,103,298,1041,13,0,0,5,12,14,0,2,7,133,443,386,51,3,30,192,165,8,38,38,7,245,9,8,0,0,7,3,52,5,63,384,46,85,47,15,0,0,0,0,0,22,0,1,0,61,1,4,0,0,0,0,1,0,13,0,0,33
ASM,0,0,0,0,59,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,0,0,15,0,23,51,0,0,0,0,0,0,0,0,0,1,21,21,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,0,7,0,0,0,0,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,0,0,0,0,82,82,35,0,0,6,0,82,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,66,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,82,0,0,0,0,0,82,0,0,20,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,0,0,40,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,4,17,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
AGO,399,12,30,37,2,132,228,48,10,37,43,8,28,14,0,0,0,0,0,0,0,0,0,0,0,0,50,3,59,21,0,0,0,0,0,0,18,0,0,14,0,0,0,0,0,14,0,0,0,0,12,90,0,0,0,0,77,56,167,0,0,95,18,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,64,13,0,27,3,210,107,48,55,53,36,32,0,0,0,0,8,12,117,0,102,23,0,0,0,0,0,0,8,34,5,0,4,43,0,0,0,12,0,6,8,0,21,6,1,84,10,0,12,0,12,68,42,189,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,5,0,0,0,0,0,0,452,0,0,0,102,41,4,0,0,0,0,11,47,0,0,0,9,0,6,12,0,0,68,12,246,62,0,20,29,11,0,0,0,0,9,0,0,0,69,44,0,0,27,0,0,7,7,0,0,0,0,0,9,0,0,20,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,19,18,1,0,0,0,0,6,0,0,3,0,0,0,0,0,0,51,0,0,0,28,0,11,57,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,0,6,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,1171,2,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,0,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
ARG,12345,1998,3490,2855,2061,10854,6011,705,612,1489,6923,2217,298,392,392,3,67,2644,59,34,1,126,87,57,10003,409,6747,931,3137,1814,4832,1141,647,2358,6471,6258,1569,3008,562,134,47,236,16,253,276,92,639,108,25,4040,2109,2946,1,1189,76,166,1270,7760,2397,880,1093,3803,3476,1598,699,952,517,111,865,2463,386,485,195,822,349,1566,177,134,405,340,1105,1572,681,1238,73,886,2130,737,359,1340,1036,7345,327,210,616,149,676,1498,1013,127,2313,1809,294,125,1055,1102,228,901,2654,2031,2125,2139,349,633,72,772,17,3743,181,5631,3900,2102,1665,2417,1570,1267,3235,2176,1081,1779,1725,8504,3378,1470,1356,3599,1138,666,2333,3225,936,1907,1814,1522,549,236,321,1347,656,318,60,150,85,276,1143,227,1353,469,39894,141,197,419,4019,1466,234,996,0,243,71,2512,845,6,4059,913,180,251,313,1105,2419,271,7635,687,4627,2725,1065,4409,825,2214,404,1246,664,559,1506,2321,2191,1383,2768,2239,681,60,538,0,4729,3008,517,734,2957,426,369,1523,824,151,655,1730,188,28,18,0,0,36,6,6,0,17,5,6,12,1,0,0,902,23,0,0,1,0,629,1821,1620,2879,1490,5916,55,7162,4948,1002,2670,1049,546,872,818,538,171,320,273,413,280,510,1237,343,335,814,956,213,73,251,366,299,50,742,139,502,245,501,52,98,2,206,57,120,6,98,1013,68,175,46,48,0,0,17,11,5,10,0,0,0,100,0,46,0,0,0,17,102,0,217,0,136,687
ARM,268,16,10,60,141,360,39,26,0,1,35,140,10,58,9,0,0,148,0,0,0,3,0,1,119,0,96,27,29,155,38,42,0,21,78,79,16,33,1,16,0,28,0,26,0,4,4,0,0,38,2,1,0,0,0,41,4,230,45,0,10,57,295,56,26,7,4,0,104,88,51,60,12,38,17,47,1,31,0,1,77,45,37,96,0,77,183,48,0,27,27,2506,22,6,85,19,218,101,50,15,163,2077,17,0,1,44,4,58,157,29,57,36,61,7,4,0,0,49,14,297,194,86,1,218,74,174,215,0,87,20,17,164,18,20,256,91,2,5,407,73,20,29,233,208,7,7,15,32,2,2,11,7,1,327,11,0,58,9,894,0,5,3,63,85,125,7,0,0,0,29,42,0,38,45,81,43,5,71,309,1,228,6,106,55,0,53,46,247,58,17,11,50,85,53,15,135,272,122,15,0,13,0,57,47,0,5,18,56,132,17,0,0,0,41,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,10,11,2,63,5,4258,2,2522,376,377,4748,182,24,83,6,3,28,0,0,0,8,7,27,19,23,26,113,7,0,2,0,3,0,77,0,32,5,37,12,0,0,15,26,0,0,0,5,0,0,0,1,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0
