Row,cat1000,cat1101,cat1102,cat1103,cat1104,cat1105,cat1106,cat1107,cat1108,cat1109,cat1110,cat1111,cat1201,cat1202,cat1204,cat1205,cat1206,cat1207,cat1208,cat1209,cat1210,cat1211,cat1212,cat1213,cat1301,cat1302,cat1303,cat1304,cat1305,cat1306,cat1307,cat1308,cat1309,cat1310,cat1311,cat1312,cat1313,cat1314,cat1315,cat1401,cat1402,cat1403,cat1404,cat1405,cat1406,cat1407,cat1408,cat1409,cat1410,cat1501,cat1502,cat1503,cat1504,cat1505,cat1506,cat1507,cat1508,cat1601,cat1602,cat1603,cat1604,cat1605,cat1606,cat1607,cat1701,cat1702,cat1703,cat1704,cat1705,cat1706,cat1707,cat1708,cat1709,cat1710,cat1711,cat1712,cat1801,cat1802,cat1803,cat1804,cat1901,cat1902,cat1903,cat1904,cat1905,cat1906,cat1907,cat1908,cat1909,cat1910,cat1911,cat1912,cat1913,cat2001,cat2002,cat2003,cat2101,cat2102,cat2103,cat2104,cat2105,cat2201,cat2202,cat2203,cat2204,cat2205,cat2206,cat2207,cat2208,cat2209,cat2210,cat2211,cat2212,cat2213,cat2214,cat2215,cat2216,cat2301,cat2302,cat2303,cat2304,cat2305,cat2306,cat2307,cat2308,cat2309,cat2310,cat2311,cat2312,cat2401,cat2402,cat2403,cat2404,cat2405,cat2406,cat2501,cat2502,cat2503,cat2504,cat2505,cat2506,cat2507,cat2508,cat2509,cat2601,cat2602,cat2603,cat2604,cat2605,cat2606,cat2607,cat2608,cat2609,cat2610,cat2611,cat2612,cat2613,cat2614,cat2701,cat2702,cat2703,cat2704,cat2705,cat2706,cat2707,cat2708,cat2709,cat2710,cat2711,cat2712,cat2713,cat2714,cat2715,cat2716,cat2717,cat2718,cat2719,cat2720,cat2721,cat2722,cat2723,cat2724,cat2725,cat2726,cat2727,cat2728,cat2729,cat2730,cat2731,cat2732,cat2733,cat2734,cat2735,cat2736,cat2737,cat2738,cat2739,cat2740,cat2741,cat2742,cat2743,cat2744,cat2745,cat2746,cat2747,cat2748,cat2801,cat2802,cat2803,cat2804,cat2805,cat2806,cat2807,cat2808,cat2809,cat2901,cat2902,cat2903,cat2904,cat2905,cat2906,cat2907,cat2908,cat2909,cat2910,cat2911,cat2912,cat2913,cat2914,cat2915,cat2916,cat2917,cat2919,cat2920,cat2922,cat2923,cat3001,cat3002,cat3003,cat3004,cat3005,cat3101,cat3102,cat3103,cat3104,cat3105,cat3106,cat3107,cat3108,cat3109,cat3110,cat3201,cat3202,cat3203,cat3204,cat3205,cat3206,cat3207,cat3301,cat3302,cat3303,cat3304,cat3305,cat3306,cat3307,cat3308,cat3309,cat3310,cat3311,cat3312,cat3313,cat3314,cat3315,cat3316,cat3317,cat3318,cat3319,cat3320,cat3321,cat3322,cat3323,cat3399,cat3401,cat3402,cat3403,cat3404,cat3501,cat3502,cat3503,cat3504,cat3505,cat3506,cat3601,cat3602,cat3603,cat3604,cat3605,cat3606,cat3607,cat3608,cat3609,cat3610,cat3611,cat3612,cat3613,cat3614,cat3615,cat3616,cat3699
AFG,29,4,8,1,2,6,8,0,1,2,9,4,5,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0,2,2,0,2,0,1,4,7,6,0,0,7,0,4,1,2,1,1,7,0,0,3,1,0,1,0,0,2,3,0,2,0,0,0,1,2,2,20,4,4,21,12,7,6,6,1,2,16,2,1,2,23,7,3,3,3,1,2,2,2,2,1,0,2,0,6,6,2,4,3,1,1,5,15,2,2,3,2,2,9,5,2,3,1,2,5,3,1,1,14,0,6,4,5,2,4,6,3,5,4,9,5,0,1,1,5,2,3,0,0,1,1,0,0,1,0,8,1,0,8,2,1,0,0,0,1,6,2,21,1,43,0,0,2,1,0,2,1,0,0,0,5,5,0,1,0,0,6,13,4,1,2,2,2,17,4,0,1,9,3,0,0,0,2,9,3,0,1,29,0,7,0,3,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,3,3,1,4,1,6,0,0,1,2,0,2,0,0,1,1,0,0,1,0,0,1,6,0,2,14,10,8,0,9,0,1,2,4,2,0,0,1,0,1,0,5,6,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ALB,9,13,8,17,14,23,13,4,4,5,14,3,11,8,7,1,2,0,5,0,0,6,0,0,6,1,16,1,5,12,8,5,1,13,12,12,5,17,0,16,2,18,4,6,4,2,13,4,1,7,4,3,0,2,0,4,7,10,4,0,6,6,8,6,29,23,4,1,55,33,2,19,2,21,12,10,0,8,4,2,5,0,1,2,0,5,2,3,0,6,4,3,1,23,26,6,8,13,0,0,12,22,2,4,10,7,1,20,26,4,5,6,5,10,13,3,1,33,2,9,7,10,3,19,32,17,26,14,11,6,3,16,10,4,6,23,1,0,4,5,1,2,0,0,32,8,17,17,3,8,4,5,2,2,1,3,1,4,80,3,0,1,12,1,1,15,0,0,2,15,2,0,2,4,7,1,9,4,0,2,24,3,19,12,2,2,0,13,0,3,3,2,5,6,12,13,31,6,5,4,0,0,1,16,1,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,6,2,5,3,3,12,0,0,12,11,0,2,0,0,2,0,1,6,2,0,0,1,17,4,9,20,25,9,0,8,0,9,0,19,4,1,3,8,1,0,0,9,5,4,3,0,11,0,6,0,8,0,0,4,2,1,3,0,0,0,1,0,1,0,0,0,1,5,0,0,0,0,4
DZA,102,117,131,129,53,139,149,22,39,46,183,54,6,11,8,1,18,2,11,3,0,1,3,8,68,1,184,29,98,12,16,30,1,10,51,123,44,26,28,36,3,16,21,34,10,2,51,4,2,277,48,67,4,9,27,161,86,408,128,26,115,185,213,98,492,591,115,43,789,705,181,278,109,297,343,410,73,219,59,43,182,57,43,60,5,39,71,29,130,26,10,25,5,23,44,3,101,299,104,35,295,408,109,70,70,300,107,413,1139,273,501,339,61,225,48,154,62,212,11,98,134,162,67,58,115,27,184,106,216,18,40,34,71,25,14,636,47,94,466,314,119,116,147,36,388,67,204,476,84,385,57,41,12,84,308,74,99,160,326,8,0,14,9,0,35,1,0,0,2,34,11,1,2,11,2,38,2,18,2,2,40,18,52,41,2,12,4,19,3,10,2,13,11,13,6,10,49,6,17,5,2,0,2,19,5,9,2,1,4,5,7,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,37,61,48,65,18,412,12,36,648,236,72,298,54,53,70,4,1,2,4,0,1,7,21,6,37,65,108,12,6,18,11,47,11,16,11,7,16,20,4,0,0,11,3,29,1,8,73,0,10,0,4,0,0,1,0,0,9,0,0,0,3,0,4,0,0,0,0,8,0,6,0,1,1
ASM,0,0,0,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AND,0,1,0,1,1,3,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
AGO,8,3,2,6,3,14,2,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,2,0,1,4,4,2,2,1,7,0,2,0,1,0,0,2,1,0,1,1,0,0,0,1,1,0,1,3,0,0,2,1,1,4,1,1,0,5,2,0,2,0,1,0,0,0,2,0,0,6,1,0,0,2,0,2,1,3,1,0,1,1,4,2,0,4,3,2,0,6,2,1,0,0,1,0,3,2,0,1,2,0,2,0,1,0,7,1,5,0,2,1,3,5,3,2,0,3,2,3,2,6,8,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,1,16,0,1,0,8,0,0,3,0,0,0,2,3,0,1,2,0,0,2,0,1,0,1,4,20,4,0,6,2,1,0,1,0,3,4,2,0,1,9,2,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,7,2,0,1,2,1,1,0,0,0,1,0,0,1,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AIA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,402,264,527,671,304,1220,448,125,160,300,740,216,159,698,351,20,17,84,250,120,15,320,33,87,184,15,497,101,240,123,242,94,108,161,393,487,128,213,48,61,16,49,6,39,20,23,54,16,22,342,142,163,2,42,10,36,317,541,233,67,111,265,332,168,281,327,37,20,332,523,223,50,20,93,65,135,30,28,33,30,226,135,31,328,20,105,364,114,51,141,274,307,106,111,141,22,98,331,57,27,184,224,59,22,142,93,21,130,371,132,189,176,29,100,8,65,42,250,43,582,233,141,123,165,218,208,297,170,152,74,109,209,313,203,95,376,62,60,247,230,65,115,121,87,249,46,69,242,65,263,29,37,32,79,96,16,139,95,1938,36,49,23,395,72,24,68,0,14,11,175,54,6,106,74,37,87,91,72,50,39,190,65,416,251,66,304,102,169,59,138,32,41,210,138,71,122,292,94,149,28,50,0,76,346,65,54,126,67,17,70,64,15,12,174,21,14,10,0,0,13,4,0,1,7,5,2,1,4,4,0,102,1,2,0,0,0,62,127,101,181,89,498,19,311,433,340,166,162,35,117,76,115,22,61,70,55,29,43,314,382,77,314,293,72,6,195,58,282,20,421,23,407,166,333,41,46,3,179,22,88,3,5,291,34,52,27,20,0,0,9,1,4,20,0,0,0,35,0,10,0,2,3,5,30,0,24,0,3,30
ARM,13,7,6,14,3,26,5,1,1,9,14,2,2,27,17,1,0,4,7,0,0,3,9,0,11,0,16,12,11,8,6,9,0,3,18,23,11,5,7,2,0,8,2,10,1,0,4,0,0,15,12,5,0,0,1,3,3,47,15,3,14,45,20,16,26,9,1,1,12,20,2,8,2,6,4,11,1,4,0,1,32,7,2,7,1,11,9,8,2,2,6,38,1,9,5,6,17,9,7,2,8,59,1,1,9,1,3,10,56,5,39,38,0,4,0,1,1,25,3,13,11,8,4,9,6,3,11,2,7,5,12,9,23,12,10,55,2,3,66,13,2,5,7,13,44,5,26,39,4,24,3,1,0,25,8,0,12,6,98,1,2,1,10,0,3,6,0,2,2,3,3,1,2,4,0,4,3,4,2,1,13,1,24,8,1,9,6,11,2,8,2,0,8,2,1,9,24,11,14,2,3,0,5,12,0,4,3,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,20,10,15,3,198,1,52,76,48,169,66,15,18,2,0,0,1,0,0,0,4,3,17,10,5,11,7,0,5,4,10,0,15,0,10,1,19,3,0,0,7,6,0,0,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,2,2,0,1,0,1,3
