,Language,Cluster
0,AMPL,42
1,ANTLR,46
2,ASP.NET,17
3,ActionScript,59
4,Ada,52
5,Apex,48
6,AppleScript,55
7,Assembly,3
8,AutoHotkey,53
9,Awk,33
10,Batchfile,16
11,Blade,8
12,Brainfuck,31
13,C,3
14,C#,18
15,C++,2
16,CMake,2
17,CSS,1
18,Clojure,43
19,CoffeeScript,21
20,Common Lisp,44
21,Cuda,51
22,D,37
23,DIGITAL Command Language,34
24,DTrace,37
25,Dart,5
26,Dockerfile,11
27,Elixir,36
28,Elm,58
29,Emacs Lisp,43
30,Erlang,36
31,F#,56
32,Forth,31
33,Fortran,32
34,FreeMarker,25
35,G-code,30
36,GAP,13
37,GDB,39
38,GDScript,13
39,GLSL,41
40,Gherkin,25
41,Gnuplot,32
42,Go,11
43,Groovy,25
44,HCL,12
45,HLSL,4
46,HTML,1
47,Hack,8
48,Haml,50
49,Handlebars,54
50,Haskell,28
51,Inno Setup,53
52,Java,25
53,JavaScript,1
54,Julia,52
55,Jupyter Notebook,10
56,Kotlin,5
57,LLVM,52
58,Less,19
59,Lex,14
60,Liquid,56
61,Logos,39
62,Lua,42
63,M,9
64,M4,34
65,MATLAB,9
66,Makefile,3
67,Mako,59
68,Mathematica,18
69,Meson,35
70,NASL,57
71,NSIS,41
72,Nim,55
73,Nix,28
74,OCaml,6
75,Objective-C,5
76,Objective-C++,40
77,OpenEdge ABL,48
78,OpenSCAD,30
79,PHP,8
80,PLSQL,15
81,PLpgSQL,15
82,Pascal,22
83,Pawn,23
84,Perl,24
85,PostScript,26
86,PowerShell,16
87,Processing,41
88,Prolog,44
89,Pug,38
90,Puppet,22
91,PureBasic,59
92,Python,10
93,QML,20
94,QMake,20
95,R,27
96,Raku,24
97,Rebol,27
98,RobotFramework,58
99,Roff,34
100,Ruby,21
101,Rust,39
102,SCSS,19
103,SQLPL,15
104,SWIG,51
105,Sass,50
106,Scala,45
107,Scheme,42
108,Scilab,49
109,ShaderLab,4
110,Shell,11
111,SmPL,35
112,Smalltalk,18
113,Smarty,12
114,Solidity,54
115,SourcePawn,23
116,Standard ML,6
117,Starlark,40
118,Stata,7
119,Stylus,38
120,Svelte,55
121,Swift,5
122,SystemVerilog,7
123,TSQL,15
124,Tcl,7
125,TeX,26
126,Thrift,46
127,Twig,57
128,TypeScript,19
129,UnrealScript,49
130,VBA,47
131,VBScript,47
132,VHDL,7
133,Verilog,7
134,Vim Script,29
135,Vim Snippet,29
136,Visual Basic .NET,17
137,Vue,19
138,XS,24
139,XSLT,45
140,Yacc,14
141,sed,33
