iso2_code;language;entry01;consider00;pci;ubiquity;rca01;density
AE;Batchfile;0;1;1.754625822469334;36.0;0.0;0.0920954871198282
AE;C++;0;1;1.185716911826135;36.0;0.0;0.1092663076898285
AE;Go;1;0;1.287478056663491;26.0;1.0;0.0899294677795539
AE;Java;0;1;-0.6517373307398842;71.0;0.0;0.3853807403291214
AE;Makefile;1;0;1.5591381085575713;38.0;1.0;0.0995039347579616
AE;Vue;0;1;-0.590525457249937;48.0;0.0;0.3490901104037334
AL;Python;0;1;-0.0515691656205541;55.0;0.0;0.12112181349028
AL;Shell;0;1;-0.2279389609062087;76.0;0.0;0.1625566749610343
AM;Batchfile;0;1;1.754625822469334;36.0;0.0;0.0475050833288019
AM;C;0;1;1.51083919229093;37.0;0.0;0.053758812143653
AM;Dockerfile;1;0;0.9633754239112304;45.0;1.0;0.079158613290183
AM;Jupyter Notebook;0;1;0.5112019474097586;24.0;0.0;0.0751008918398577
AM;Makefile;1;0;1.5591381085575713;38.0;1.0;0.0535860713391654
AM;Objective-C;1;0;0.1069283514475007;45.0;1.0;0.1746155522214349
AM;Python;0;1;-0.0515691656205541;55.0;0.0;0.1265187148906768
AM;Ruby;0;1;-0.8041688921409909;56.0;0.0;0.2650039645844216
AR;Assembly;0;1;1.963644814406957;32.0;0.0;0.1731167271854589
AR;Batchfile;0;1;1.754625822469334;36.0;0.0;0.1815978606363536
AR;C;0;1;1.51083919229093;37.0;0.0;0.186894770649794
AR;C++;0;1;1.185716911826135;36.0;0.0;0.1911933790302236
AR;CMake;0;1;1.8102499941879904;35.0;0.0;0.1776971146791847
AR;CoffeeScript;0;1;0.6534558130059742;19.0;0.0;0.2232585632921036
AR;Dart;0;1;-0.6366428602148355;37.0;0.0;0.432157915428181
AR;Dockerfile;0;1;0.9633754239112304;45.0;0.0;0.1990933197058674
AR;GLSL;0;1;1.9720919796236176;29.0;0.0;0.1754639748946271
AR;Go;0;1;1.287478056663491;26.0;0.0;0.1679161980775763
AR;Groovy;0;1;2.045672644939932;28.0;0.0;0.1706079823153016
AR;HCL;0;1;2.081247572247573;23.0;0.0;0.1624595786852706
AR;Jupyter Notebook;0;1;0.5112019474097586;24.0;0.0;0.2103922937376653
AR;Kotlin;0;1;-0.3649067402491252;57.0;0.0;0.3870001442512238
AR;Lua;0;1;1.9164067625124204;29.0;0.0;0.1644070931740043
AR;M4;0;1;2.141110172316937;30.0;0.0;0.1679936592267094
AR;MATLAB;0;1;1.851954626548087;25.0;0.0;0.1719864317697787
AR;Makefile;0;1;1.5591381085575713;38.0;0.0;0.1840250121343419
AR;Objective-C;0;1;0.1069283514475007;45.0;0.0;0.2651246530414757
AR;PLpgSQL;0;1;1.8883857633057777;32.0;0.0;0.1798601900268236
AR;Perl;0;1;1.8863560192802729;30.0;0.0;0.1663451480715722
AR;PowerShell;0;1;0.9861365234164;37.0;0.0;0.2060303851688372
AR;Python;0;1;-0.0515691656205541;55.0;0.0;0.2181002543312546
AR;R;0;1;1.1157321177845223;31.0;0.0;0.1999844552370715
AR;Roff;0;1;2.065574294940661;29.0;0.0;0.1659129439607671
AR;Ruby;0;1;-0.8041688921409909;56.0;0.0;0.3203291146286836
AR;Rust;0;1;2.066526429861059;25.0;0.0;0.1612497760151476
AR;Scala;0;1;2.0230246886021783;29.0;0.0;0.175284873638594
AR;Shell;0;1;-0.2279389609062087;76.0;0.0;0.2477050498162672
AR;Smarty;0;1;1.940829555675328;30.0;0.0;0.1675732966005049
AR;Starlark;0;1;0.5548298125965115;19.0;0.0;0.2234824881466875
AR;Swift;0;1;-0.3984229658803768;48.0;0.0;0.3758587507468396
AR;TeX;0;1;1.639072434856775;28.0;0.0;0.1755462243159007
AR;Vim Script;0;1;1.9750874907129656;27.0;0.0;0.1687540578958973
AR;Vue;0;1;-0.590525457249937;48.0;0.0;0.4000908790926473
AR;XSLT;0;1;1.7269077328857083;31.0;0.0;0.1757870378866165
AT;Blade;0;1;-0.4723381228715559;54.0;0.0;0.442351659468598
AT;CSS;0;1;-1.203894976903993;108.0;0.0;0.3727317001309975
AT;Dart;0;1;-0.6366428602148355;37.0;0.0;0.3829440835481985
AT;HTML;0;1;-1.2864110948733187;117.0;0.0;0.3594117647058822
AT;Hack;0;1;-0.452883550093042;53.0;0.0;0.4137042433981999
AT;JavaScript;0;1;-1.0682499970793824;113.0;0.0;0.4059330512441599
AT;Jupyter Notebook;0;1;0.5112019474097586;24.0;0.0;0.4668626162008735
AT;Less;0;1;-0.3374503558491916;44.0;0.0;0.4586757327482132
AT;Ruby;1;0;-0.8041688921409909;56.0;1.0;0.3919967761378009
AT;SCSS;0;1;-0.6494982578622338;90.0;0.0;0.4230869099342571
AT;Swift;0;1;-0.3984229658803768;48.0;0.0;0.403330760626092
AU;Blade;0;1;-0.4723381228715559;54.0;0.0;0.4772040354066692
AU;C++;0;1;1.185716911826135;36.0;0.0;0.7348371774004623
AU;CSS;0;1;-1.203894976903993;108.0;0.0;0.3580186067047739
AU;Dart;0;1;-0.6366428602148355;37.0;0.0;0.4157537658576649
AU;FreeMarker;1;0;1.9765889340186649;12.0;1.0;0.7092031461066854
AU;HTML;0;1;-1.2864110948733187;117.0;0.0;0.3511764705882353
AU;Hack;0;1;-0.452883550093042;53.0;0.0;0.4853384977403901
AU;Java;0;1;-0.6517373307398842;71.0;0.0;0.4997167841980126
AU;JavaScript;0;1;-1.0682499970793824;113.0;0.0;0.3935832361930808
AU;Jupyter Notebook;0;1;0.5112019474097586;24.0;0.0;0.6674657606567335
AU;Kotlin;0;1;-0.3649067402491252;57.0;0.0;0.4779702772143083
AU;Less;0;1;-0.3374503558491916;44.0;0.0;0.4845122115196767
AU;Objective-C;0;1;0.1069283514475007;45.0;0.0;0.6165752162802018
