iso2_code;cluster_id;entry01;consider00;pci;ubiquity;rca01;density
AE;2.0;0;1;1.0484893605030814;36.0;0.0;0.076689852951445
AE;11.0;0;1;-0.4593823573642193;70.0;0.0;0.1999517559277189
AE;16.0;0;1;1.6264851572309549;31.0;0.0;0.0489293108078255
AE;19.0;0;1;-0.6092345734189457;79.0;0.0;0.4107883641866874
AL;10.0;0;1;-0.5355804874514659;45.0;0.0;0.1858243985204405
AM;3.0;1;0;1.4108308443018542;38.0;1.0;0.0926853913651567
AM;10.0;0;1;-0.5355804874514659;45.0;0.0;0.1925185452951953
AM;16.0;0;1;1.6264851572309549;31.0;0.0;0.0687457001563465
AR;2.0;0;1;1.0484893605030814;36.0;0.0;0.2940039359927787
AR;3.0;0;1;1.4108308443018542;38.0;0.0;0.3023227394402232
AR;5.0;0;1;-0.4200124488780536;50.0;0.0;0.463986843711872
AR;9.0;0;1;1.6229599702141269;36.0;0.0;0.356102413778476
AR;10.0;0;1;-0.5355804874514659;45.0;0.0;0.2886199515842191
AR;11.0;0;1;-0.4593823573642193;70.0;0.0;0.3221369614534958
AR;12.0;0;1;1.83505819916364;24.0;0.0;0.2671291625755266
AR;16.0;0;1;1.6264851572309549;31.0;0.0;0.2896613465015336
AR;21.0;0;1;-0.6022948079582573;79.0;0.0;0.4457600143436514
AR;24.0;0;1;1.4298958491314566;40.0;0.0;0.3414910544700117
AR;34.0;0;1;1.8229487376342035;33.0;0.0;0.3092101683796127
AR;39.0;0;1;1.7491188857965398;31.0;0.0;0.3178425783409404
AR;42.0;0;1;1.7024775051477616;33.0;0.0;0.3133349685986456
AR;45.0;0;1;1.7609958269613748;32.0;0.0;0.3074347727391434
AT;1.0;0;1;-1.5310079173161557;85.0;0.0;0.3638325260053741
AT;5.0;0;1;-0.4200124488780536;50.0;0.0;0.4607152278428655
AT;8.0;0;1;-0.6974731199781791;89.0;0.0;0.4698443579766537
AT;10.0;0;1;-0.5355804874514659;45.0;0.0;0.5314295045107611
AT;19.0;0;1;-0.6092345734189457;79.0;0.0;0.4662364305165231
AT;25.0;0;1;-0.696317419900165;88.0;0.0;0.4868411785420825
AU;1.0;0;1;-1.5310079173161557;85.0;0.0;0.3045294270529562
AU;2.0;0;1;1.0484893605030814;36.0;0.0;0.7442129470927752
AU;5.0;0;1;-0.4200124488780536;50.0;0.0;0.4450617620590302
AU;8.0;0;1;-0.6974731199781791;89.0;0.0;0.4212062256809337
AU;18.0;0;1;-0.0693373471202567;78.0;0.0;0.5179150545199315
AU;19.0;0;1;-0.6092345734189457;79.0;0.0;0.4288091941218482
AU;25.0;0;1;-0.696317419900165;88.0;0.0;0.3813240990726612
AU;57.0;0;1;1.4493509711185564;22.0;0.0;0.7536355234204194
AZ;11.0;0;1;-0.4593823573642193;70.0;0.0;0.2009385561054213
BA;3.0;0;1;1.4108308443018542;38.0;0.0;0.0741110895992228
BA;10.0;0;1;-0.5355804874514659;45.0;0.0;0.1445983314320446
BA;11.0;0;1;-0.4593823573642193;70.0;0.0;0.1699653655277849
BA;21.0;1;0;-0.6022948079582573;79.0;1.0;0.3441487492699509
BD;3.0;0;1;1.4108308443018542;38.0;0.0;0.092472822903778
BD;9.0;0;1;1.6229599702141269;36.0;0.0;0.1235029191014398
BD;10.0;0;1;-0.5355804874514659;45.0;0.0;0.1339401270141695
BD;11.0;0;1;-0.4593823573642193;70.0;0.0;0.1602083787707517
BD;16.0;0;1;1.6264851572309549;31.0;0.0;0.0858439572175431
BD;19.0;0;1;-0.6092345734189457;79.0;0.0;0.3680143797356301
BD;21.0;0;1;-0.6022948079582573;79.0;0.0;0.3251079065068205
BD;24.0;0;1;1.4298958491314566;40.0;0.0;0.1223405726405215
BD;26.0;0;1;1.4631831505099593;37.0;0.0;0.1221237414555474
BD;27.0;0;1;1.1628686697451442;39.0;0.0;0.137181888362551
BD;29.0;0;1;1.8636303512102153;31.0;0.0;0.0864709530747788
