iso2_code;language;exit01;consider00;pci;ubiquity;rca01;density
AE;CSS;0;1;-1.203894976903993;108.0;1.0;0.5763855184366462
AE;Dart;0;1;-0.6366428602148355;37.0;1.0;0.3907863600227061
AE;Dockerfile;0;1;0.9633754239112304;45.0;1.0;0.1441244594400208
AE;HTML;0;1;-1.2864110948733187;117.0;1.0;0.5682352941176472
AE;JavaScript;0;1;-1.0682499970793824;113.0;1.0;0.5392982037467071
AE;Jupyter Notebook;0;1;0.5112019474097586;24.0;1.0;0.1619309745688229
AE;Kotlin;0;1;-0.3649067402491252;57.0;1.0;0.3667798829631853
AE;Objective-C;0;1;0.1069283514475007;45.0;1.0;0.2551663430469347
AE;PowerShell;1;0;0.9861365234164;37.0;0.0;0.1426273359582852
AE;Python;0;1;-0.0515691656205541;55.0;1.0;0.2288082086737162
AE;Ruby;0;1;-0.8041688921409909;56.0;1.0;0.3716283652899988
AE;SCSS;0;1;-0.6494982578622338;90.0;1.0;0.4167852698724164
AE;Shell;0;1;-0.2279389609062087;76.0;1.0;0.2517813018040176
AE;Swift;0;1;-0.3984229658803768;48.0;1.0;0.3494065344655296
AE;TypeScript;0;1;-0.1389597189676882;75.0;1.0;0.304052572088071
AF;CSS;0;1;-1.203894976903993;108.0;1.0;0.1877146337605734
AF;HTML;0;1;-1.2864110948733187;117.0;1.0;0.1935294117647059
AF;JavaScript;0;1;-1.0682499970793824;113.0;1.0;0.1720254430972289
AL;C#;0;1;0.0154752536849605;68.0;1.0;0.2226833892219415
AL;CSS;0;1;-1.203894976903993;108.0;1.0;0.5034330968649543
AL;HTML;0;1;-1.2864110948733187;117.0;1.0;0.4970588235294118
AL;Hack;0;1;-0.452883550093042;53.0;1.0;0.2812805118433896
AL;Java;0;1;-0.6517373307398842;71.0;1.0;0.3404544602397181
AL;JavaScript;0;1;-1.0682499970793824;113.0;1.0;0.4614406740768615
AL;PHP;0;1;-0.7117079578420717;95.0;1.0;0.3637836779873901
AL;SCSS;0;1;-0.6494982578622338;90.0;1.0;0.3568286153733189
AL;TypeScript;0;1;-0.1389597189676882;75.0;1.0;0.255802118581882
AM;Blade;0;1;-0.4723381228715559;54.0;1.0;0.3356751035452882
AM;C#;0;1;0.0154752536849605;68.0;1.0;0.2433576915127711
AM;CSS;0;1;-1.203894976903993;108.0;1.0;0.5267288281231416
AM;HTML;0;1;-1.2864110948733187;117.0;1.0;0.5217647058823529
AM;Java;1;0;-0.6517373307398842;71.0;0.0;0.3598780937281883
AM;JavaScript;0;1;-1.0682499970793824;113.0;1.0;0.485066407218056
AM;Kotlin;0;1;-0.3649067402491252;57.0;1.0;0.3219291934905313
AM;PHP;0;1;-0.7117079578420717;95.0;1.0;0.3850391967182593
AM;SCSS;0;1;-0.6494982578622338;90.0;1.0;0.3776400161085428
AM;Swift;0;1;-0.3984229658803768;48.0;1.0;0.2918282784641439
AM;TypeScript;0;1;-0.1389597189676882;75.0;1.0;0.2710140842193012
AM;Vue;0;1;-0.590525457249937;48.0;1.0;0.3416793101177841
AO;CSS;0;1;-1.203894976903993;108.0;1.0;0.269249693164229
AO;HTML;0;1;-1.2864110948733187;117.0;1.0;0.2705882352941177
AO;JavaScript;0;1;-1.0682499970793824;113.0;1.0;0.2466612818841843
AO;PHP;0;1;-0.7117079578420717;95.0;1.0;0.170068609553786
AR;ASP.NET;0;1;0.26818052367674;38.0;1.0;0.3691328005994413
AR;Blade;1;0;-0.4723381228715559;54.0;0.0;0.4472520946215608
AR;CSS;0;1;-1.203894976903993;108.0;1.0;0.5622854705698487
AR;HTML;0;1;-1.2864110948733187;117.0;1.0;0.5570588235294117
AR;Handlebars;0;1;0.5673587643756741;36.0;1.0;0.3165600912011646
AR;Haskell;0;1;1.9586651750743016;27.0;1.0;0.1915248057172741
AR;JavaScript;0;1;-1.0682499970793824;113.0;1.0;0.5269483886956281
AR;PHP;1;0;-0.7117079578420717;95.0;0.0;0.4546027125647405
AR;Processing;0;1;1.9640573255992255;17.0;1.0;0.164075788883041
AR;Prolog;0;1;2.1448302071384178;18.0;1.0;0.157345972152087
AR;Pug;0;1;0.7398324276404348;30.0;1.0;0.325784877758845
AR;SCSS;0;1;-0.6494982578622338;90.0;1.0;0.4420562564794739
AR;Sass;1;0;1.3078142391794814;30.0;0.0;0.2359551162009361
AR;Smalltalk;0;1;2.0209855339749874;26.0;1.0;0.1834651215494893
AR;Solidity;0;1;1.6059171379561872;21.0;1.0;0.1925672575678864
AR;TSQL;0;1;-0.3789268824364155;61.0;1.0;0.4141455623550684
AR;TypeScript;0;1;-0.1389597189676882;75.0;1.0;0.3736948522718809
AR;Visual Basic .NET;0;1;1.747126627151638;16.0;1.0;0.1636698519728436
AT;ANTLR;0;1;2.3362096881293533;17.0;1.0;0.3907478604170121
AT;Assembly;0;1;1.963644814406957;32.0;1.0;0.5810625181085383
AT;Awk;0;1;2.1774974410280534;27.0;1.0;0.5592936101045612
AT;Batchfile;0;1;1.754625822469334;36.0;1.0;0.5887874519153788
AT;C;0;1;1.51083919229093;37.0;1.0;0.5928604760159338
AT;C#;0;1;0.0154752536849605;68.0;1.0;0.568504565268231
AT;C++;0;1;1.185716911826135;36.0;1.0;0.5831179267258799
AT;CMake;0;1;1.8102499941879904;35.0;1.0;0.5911335586814779
AT;Clojure;0;1;2.2890241120473416;20.0;1.0;0.469793407437262
AT;Dockerfile;0;1;0.9633754239112304;45.0;1.0;0.5792555108407148
AT;Emacs Lisp;0;1;2.170200440802224;22.0;1.0;0.5272659619946589
AT;GLSL;0;1;1.9720919796236176;29.0;1.0;0.5669033816006579
AT;Gherkin;0;1;1.6714514560053877;27.0;1.0;0.557451106052332
AT;Groovy;0;1;2.045672644939932;28.0;1.0;0.5519254385116984
AT;HLSL;0;1;1.402661285392507;36.0;1.0;0.5657622642340325
AT;Handlebars;0;1;0.5673587643756741;36.0;1.0;0.5688029367889604
AT;Haskell;0;1;1.9586651750743016;27.0;1.0;0.5343458333057113
AT;Kotlin;0;1;-0.3649067402491252;57.0;1.0;0.4697148495755656
AT;Lex;0;1;2.0137117616598017;26.0;1.0;0.5582516745133046
AT;Lua;0;1;1.9164067625124204;29.0;1.0;0.5748584021029871
AT;M4;0;1;2.141110172316937;30.0;1.0;0.5663685312397432
AT;MATLAB;0;1;1.851954626548087;25.0;1.0;0.5538828525218996
AT;Makefile;0;1;1.5591381085575713;38.0;1.0;0.5868532585523978
