iso2_code;cluster_name;exit01;consider00;pci;ubiquity;rca01;density
AE;Dynamic General Purpose;0;1;-1.20746570607327;99.0;1.0;0.5390783821004872
AE;Interactive Tools;0;1;1.155325395950293;25.0;1.0;0.1549445024530217
AE;Modern Contract/Typed;0;1;0.0174954206553288;49.0;1.0;0.2657668653673385
AE;Shell Scripting;0;1;-0.4634330858914763;107.0;1.0;0.3708028452693573
AE;Strongly Typed Systems;0;1;1.0792405680470785;43.0;1.0;0.1801238141154433
AE;Web Markup/Styling;0;1;-1.2565391492115314;111.0;1.0;0.5290933694181326
AF;Dynamic General Purpose;0;1;-1.20746570607327;99.0;1.0;0.2745035372163532
AF;Web Markup/Styling;0;1;-1.2565391492115314;111.0;1.0;0.2801082543978349
AL;Dynamic General Purpose;0;1;-1.20746570607327;99.0;1.0;0.6461311449674708
AL;Dynamic OOP Scripting;0;1;-0.4122572806689877;48.0;1.0;0.4034099846072584
AL;Popular JVM OOP;0;1;-0.3548183360732034;69.0;1.0;0.3946401490475599
AL;Shell Scripting;0;1;-0.4634330858914763;107.0;1.0;0.40381918772149
AL;Web Markup/Styling;0;1;-1.2565391492115314;111.0;1.0;0.6346414073071718
AM;Dynamic General Purpose;0;1;-1.20746570607327;99.0;1.0;0.6178811103220169
AM;HTML-Centric Templating;0;1;-0.3300974919836952;51.0;1.0;0.4174539515967304
AM;JavaScript-Based Templating;0;1;-0.4118356804224901;52.0;1.0;0.4183769040113888
AM;Modern Contract/Typed;0;1;0.0174954206553288;49.0;1.0;0.3293551088836972
AM;Shell Scripting;0;1;-0.4634330858914763;107.0;1.0;0.3924992988807588
AM;Web Markup/Styling;0;1;-1.2565391492115314;111.0;1.0;0.6075778078484437
AO;Dynamic General Purpose;0;1;-1.20746570607327;99.0;1.0;0.3859334574435523
AO;Shell Scripting;0;1;-0.4634330858914763;107.0;1.0;0.2510006883716187
AO;Web Markup/Styling;0;1;-1.2565391492115314;111.0;1.0;0.3897158322056833
AR;Data/Document DSLs;0;1;1.857410498538032;32.0;1.0;0.4325798930178447
AR;Enterprise OOP;0;1;0.6547672714360266;37.0;1.0;0.5378427951077644
AR;Graphics/Hardware Languages;0;1;1.6583031646204731;35.0;1.0;0.4426549081659643
AR;HTML-Centric Templating;1;0;-0.3300974919836952;51.0;0.0;0.5481871681411167
AR;Logic Programming;0;1;2.0814849049538844;19.0;1.0;0.3238797672469375
AR;Low-Level C-Based;1;0;1.378051715365754;38.0;0.0;0.4525934203189592
AR;Low-Level Hardware;1;0;1.8984509317220128;38.0;0.0;0.4264498312171793
AR;Pure Functional;0;1;2.077565310264836;28.0;1.0;0.3900284978050085
AR;Scientific Tools;1;0;1.1819372675062847;34.0;0.0;0.5109455342649324
AR;Text Parsing DSLs;1;0;2.073024704716692;31.0;0.0;0.3911150608835767
AR;Typed Scripting;0;1;0.747365478078604;31.0;1.0;0.4488891291471959
AR;Unix Build Tools;1;0;1.2872488211819004;46.0;0.0;0.4575788729364701
AR;Web Markup/Styling;0;1;-1.2565391492115314;111.0;1.0;0.5372124492557508
AT;Cross-Platform Build Systems;0;1;1.675673582074391;35.0;1.0;0.632354522749683
AT;Data/Document DSLs;0;1;1.857410498538032;32.0;1.0;0.6215407090011411
AT;Functional JVM;0;1;2.072695561823899;32.0;1.0;0.6172764090261325
AT;Functional Lisp;0;1;2.271061865195928;25.0;1.0;0.6157264647429936
AT;Graphics/Hardware Languages;0;1;1.6583031646204731;35.0;1.0;0.5916900924075629
AT;Installer & Scripting Utilities;0;1;2.3709274578314825;20.0;1.0;0.4996173273271125
AT;Low-Level C-Based;1;0;1.378051715365754;38.0;0.0;0.6116205802682305
AT;Low-Level Hardware;0;1;1.8984509317220128;38.0;1.0;0.6133481372820706
AT;Low-Level Utilities;0;1;1.973299234045903;32.0;1.0;0.6421164639423016
AT;Pure Functional;0;1;2.077565310264836;28.0;1.0;0.6033190570848961
