period;cluster_name_1;cluster_name_2;proximity;year
1;Batch/High-Level Tools;Batch/High-Level Tools;1.0;2020
1;Batch/High-Level Tools;Concurrency-Oriented;0.5172413793103449;2020
1;Batch/High-Level Tools;Cross-Platform Build Systems;0.5714285714285714;2020
1;Batch/High-Level Tools;Data/Document DSLs;0.71875;2020
1;Batch/High-Level Tools;Database Scripting;0.125;2020
1;Batch/High-Level Tools;Debugging/Testing Tools;0.5517241379310345;2020
1;Batch/High-Level Tools;Desktop Automation;0.5172413793103449;2020
1;Batch/High-Level Tools;Dynamic General Purpose;0.04040404040404041;2020
1;Batch/High-Level Tools;Dynamic OOP Scripting;0.125;2020
1;Batch/High-Level Tools;Enterprise OOP;0.35135135135135137;2020
1;Batch/High-Level Tools;Event Scripting;0.3103448275862069;2020
1;Batch/High-Level Tools;Functional JVM;0.75;2020
1;Batch/High-Level Tools;Functional Lisp;0.7241379310344828;2020
1;Batch/High-Level Tools;Game Scripting;0.3448275862068966;2020
1;Batch/High-Level Tools;Graphics/Hardware Languages;0.6285714285714286;2020
1;Batch/High-Level Tools;HTML-Centric Templating;0.1568627450980392;2020
1;Batch/High-Level Tools;Installer & Scripting Utilities;0.5862068965517241;2020
1;Batch/High-Level Tools;Interactive Tools;0.4482758620689655;2020
1;Batch/High-Level Tools;JavaScript-Based Templating;0.11538461538461539;2020
1;Batch/High-Level Tools;Logic Programming;0.5172413793103449;2020
1;Batch/High-Level Tools;Low-Level C-Based;0.5;2020
1;Batch/High-Level Tools;Low-Level Hardware;0.7105263157894737;2020
1;Batch/High-Level Tools;Low-Level Languages;0.4482758620689655;2020
1;Batch/High-Level Tools;Low-Level Utilities;0.71875;2020
1;Batch/High-Level Tools;Modern Contract/Typed;0.24489795918367346;2020
1;Batch/High-Level Tools;OOP System Programming;0.3939393939393939;2020
1;Batch/High-Level Tools;Pascal-Based Systems;0.6551724137931034;2020
1;Batch/High-Level Tools;Popular JVM OOP;0.15942028985507245;2020
1;Batch/High-Level Tools;Pure Functional;0.8275862068965517;2020
1;Batch/High-Level Tools;Scientific Tools;0.5;2020
1;Batch/High-Level Tools;Shell Scripting;0.16822429906542055;2020
1;Batch/High-Level Tools;Specialized Tools;0.6896551724137931;2020
1;Batch/High-Level Tools;Strongly Typed Systems;0.4186046511627907;2020
1;Batch/High-Level Tools;Text Parsing DSLs;0.7419354838709677;2020
1;Batch/High-Level Tools;Typed Scripting;0.41935483870967744;2020
1;Batch/High-Level Tools;Unix Build Tools;0.4782608695652174;2020
1;Batch/High-Level Tools;Unix-Like Scripting;0.7586206896551724;2020
1;Batch/High-Level Tools;Web Markup/Styling;0.036036036036036036;2020
1;Concurrency-Oriented;Batch/High-Level Tools;0.5172413793103449;2020
1;Concurrency-Oriented;Concurrency-Oriented;1.0;2020
