,year,quarter,country,pagerank
0,2020,1,IL,0.012531032585964951
1,2020,1,US,0.3092269435812729
2,2020,1,DE,0.07031868004200559
3,2020,1,GB,0.05734990011215786
4,2020,1,SI,0.0015037566745014664
5,2020,1,NO,0.006415941530539701
6,2020,1,AU,0.0162802084692913
7,2020,1,FR,0.03125052266593967
8,2020,1,BR,0.007402361877744965
9,2020,1,IN,0.029711717811034457
10,2020,1,CH,0.013905916817792675
11,2020,1,JP,0.015103681721318202
12,2020,1,CN,0.04509684114883309
13,2020,1,CZ,0.0074724453790223164
14,2020,1,IE,0.0038473988000712707
15,2020,1,UA,0.009726795263827717
16,2020,1,AT,0.0050980860996638335
17,2020,1,IT,0.008888629711598445
18,2020,1,GR,0.0025084859594790517
19,2020,1,JM,0.001265831384503785
20,2020,1,SG,0.006494125054829919
21,2020,1,VN,0.002891297740012643
22,2020,1,SE,0.009541851322398646
23,2020,1,BE,0.005538985026750798
24,2020,1,RS,0.003092746357379001
25,2020,1,HU,0.0030388309398038903
26,2020,1,HK,0.014845394715210063
27,2020,1,CA,0.03409576532762414
28,2020,1,PL,0.008468200347544561
29,2020,1,PT,0.003024423379134295
30,2020,1,NG,0.005530900019259792
31,2020,1,RO,0.003922028231727419
32,2020,1,RU,0.021493845229663827
33,2020,1,DK,0.003960035221606765
34,2020,1,AR,0.004180252934615322
35,2020,1,PH,0.0020043215035197353
36,2020,1,TN,0.0016621178361001894
37,2020,1,EE,0.002108684378446757
38,2020,1,ID,0.0022394948330338497
39,2020,1,ZA,0.0034843163971520824
40,2020,1,ES,0.014113385255265029
41,2020,1,LK,0.0013882344656228867
42,2020,1,BG,0.0029087669553384396
43,2020,1,UY,0.001764092430204423
44,2020,1,NL,0.023936410496920066
45,2020,1,TR,0.0035635424934619374
46,2020,1,NZ,0.005249793869373813
47,2020,1,EC,0.0014191016694601512
48,2020,1,MX,0.004403493074799273
49,2020,1,MY,0.002166541820390631
50,2020,1,UG,0.00203438896007079
51,2020,1,PF,0.0010523452186198086
52,2020,1,MM,0.0010737810413374899
53,2020,1,AE,0.0016271764165815905
54,2020,1,MK,0.001070379055270875
55,2020,1,CL,0.0022310903942547033
56,2020,1,TH,0.0023221288312745584
57,2020,1,PK,0.0018158508808583526
58,2020,1,SK,0.0016404492219885343
59,2020,1,BJ,0.0011162463760040155
60,2020,1,AQ,0.0010523452186198086
61,2020,1,KR,0.006555115714155361
62,2020,1,TW,0.003425385812357945
63,2020,1,GH,0.0013345210351431189
64,2020,1,LT,0.0017838960007737978
65,2020,1,MD,0.0011912059240960877
66,2020,1,HR,0.0017152072443905918
67,2020,1,BB,0.0010523452186198086
68,2020,1,FI,0.004727149973967773
69,2020,1,IR,0.0027967292527996826
70,2020,1,BA,0.0013664771500706153
71,2020,1,EG,0.0021685850161852686
72,2020,1,BY,0.0027260444099510344
73,2020,1,PE,0.0019181970626465073
74,2020,1,LV,0.0014840773694420905
75,2020,1,RE,0.0010852765583879561
76,2020,1,KE,0.0031018645097863062
77,2020,1,AF,0.0013348835136306775
78,2020,1,KW,0.0013591695123605497
79,2020,1,CR,0.001803405547855786
80,2020,1,ML,0.0010523452186198086
81,2020,1,AM,0.00126593741735054
82,2020,1,MT,0.0011150292737440305
83,2020,1,GT,0.0011541971090819753
84,2020,1,SV,0.001185529415652449
85,2020,1,MG,0.001103310904147992
86,2020,1,IS,0.00124874105612956
87,2020,1,VE,0.0014056935014525867
88,2020,1,SA,0.0013040573787877466
89,2020,1,CO,0.0036318714759125776
90,2020,1,PA,0.0010523452186198086
91,2020,1,KZ,0.0011270803463035452
92,2020,1,PS,0.0010979359643990133
93,2020,1,PR,0.0012516756236329617
94,2020,1,NP,0.0012373367964317592
95,2020,1,YE,0.0010523452186198086
96,2020,1,KH,0.0012819869453834878
97,2020,1,AZ,0.001112816442037146
98,2020,1,CY,0.0011255515919343924
99,2020,1,LU,0.0016178575766980197
100,2020,1,KN,0.0010523452186198086
101,2020,1,ZW,0.0010523452186198086
102,2020,1,KY,0.0010523452186198086
103,2020,1,MA,0.0012530322778483902
104,2020,1,CU,0.001336254706895044
105,2020,1,CI,0.0010673849234896318
106,2020,1,DO,0.0014327497840523709
107,2020,1,GE,0.0010637292437026026
108,2020,1,BD,0.0023256859850585296
109,2020,1,LB,0.0011377313880145056
110,2020,1,KG,0.0012505125341083436
111,2020,1,BO,0.0017444789903351813
112,2020,1,BH,0.0010523452186198086
113,2020,1,JO,0.001677549051910914
114,2020,1,RW,0.0018750825747391718
115,2020,1,UZ,0.0011597275946952784
116,2020,1,NI,0.0013935778233885362
117,2020,1,BS,0.0010523452186198086
118,2020,1,GP,0.0010523452186198086
119,2020,1,MU,0.0010966690559845059
120,2020,1,SZ,0.0010523452186198086
121,2020,1,DZ,0.0010730398525206854
122,2020,1,PY,0.0011148403526193102
123,2020,1,MO,0.0010523452186198086
124,2020,1,SD,0.001070340871597857
125,2020,1,SC,0.0010523452186198086
