country,year,population,eci_trade,eci_technology,eci_research,eci_software,gdp_start,emissions,nat_res,pop
ALB,2020,2852805.333,0.397067484,0.432096167,0.5331708,0.192488594,9.504217989,5.466282146,6.039983596,14.8638134
ARE,2020,9213038.333,0.524431802,0.693670812,0.465273239,0.301121621,11.16100584,5.933215631,9.836228378,16.03613025
ARG,2020,44936659,0.52366096,0.699983549,0.73656023,0.599257188,9.976018274,5.953833099,6.963268959,17.62076448
ARM,2020,2820922.333,0.412879919,0.505515875,0.440659874,0.208235338,9.52043639,5.55326841,6.826648223,14.85257446
AUS,2020,25315777.33,0.426612119,0.909458707,0.945416175,0.952006815,10.80065397,6.196125502,9.142135805,17.04693837
AUT,2020,8879101.667,0.860400489,0.99282758,0.805391392,0.854606896,10.90192168,5.039432328,8.771687884,15.99921095
AZE,2020,10019058.33,0.352762995,0.453235364,0.170586272,0.212155742,9.555781876,5.963188151,7.453342126,16.11999967
BEL,2020,11484879.33,0.814916984,0.891435438,0.88201087,0.829256111,10.8338235,5.20108326,9.275131697,16.25654189
BGD,2020,165540377,0.205727775,0.305713111,0.467763659,0.302726681,8.593109243,5.467702441,2.362133026,18.92472569
BGR,2020,6978271,0.607864003,0.766007326,0.437280883,0.505125887,10.02743318,5.766604359,7.792750508,15.75831174
BIH,2020,3359749,0.62313932,0.531677349,0.430884152,0.190499844,9.586642444,6.301376983,6.885794225,15.02737683
BLR,2020,9412831.667,0.679847184,0.619876872,0.235783028,0.582001887,9.860968616,6.212623667,7.516526102,16.05758439
BRA,2020,211715258,0.604649577,0.915897269,0.783032228,0.569319634,9.579936085,5.849379726,6.717781198,19.17075281
CAN,2020,37557826.67,0.713896862,0.8946277,0.951390731,0.96859624,10.78109666,5.981673451,8.755678567,17.44139235
CHE,2020,8575925.333,0.968168032,0.957254456,0.890166653,0.956865284,11.14418497,4.344746726,9.446915057,15.96446946
CHL,2020,19013750,0.440788368,0.886883863,0.766891199,0.382876621,10.09757849,5.466528889,8.164657948,16.76067296
CHN,2020,1407201667,0.704382679,0.804094022,0.273748133,0.924531368,9.667941761,6.350795209,5.778361956,21.06486894
CIV,2020,26151109.67,0.234158095,0.271269412,0.521063926,0.141814525,8.528218776,5.263443789,6.056747782,17.07940218
CMR,2020,25783391.67,0.216345213,0.146410443,0.539564863,0.217546685,8.220987912,6.871449343,5.115836997,17.06524111
COL,2020,50131676.33,0.525688977,0.792246801,0.672488094,0.510678986,9.556311533,5.568539159,6.481157599,17.73016363
CRI,2020,5082790.333,0.533188969,0.536930562,0.589426361,0.350666483,9.921650303,4.995082086,7.113027055,15.44137095
CZE,2020,10666552,0.87815894,0.910828037,0.528766895,0.884626576,10.59305293,5.612049918,8.234612578,16.18262342
DEU,2020,83053205,0.941494755,0.987376196,0.808515878,1,10.87864949,5.135626773,8.162027423,18.23499198
DNK,2020,5813154,0.727812864,0.893176479,0.866822655,0.843583049,10.93469975,4.903415902,8.766266778,15.57563384
DOM,2020,10882359,0.444960787,0.420584799,0.538999774,0.241113335,9.76850003,5.31561254,6.271404987,16.2026536
DZA,2020,42694680.33,0.212128659,0.52593903,0.268427549,0.214057855,9.34130806,6.331479081,6.537744075,17.56958489
ECU,2020,17316002.33,0.265880228,0.459676456,0.511524546,0.255723387,9.316368971,5.925377659,7.12543532,16.66714162
EGY,2020,105608190,0.451946941,0.630996264,0.47774974,0.43192761,9.368308879,5.535813547,5.345761058,18.47524648
ESP,2020,47099415.33,0.673554074,0.921858816,0.834253119,0.933262127,10.57226145,5.101172204,7.891862395,17.66777115
FIN,2020,5522224.667,0.847307304,0.959083311,0.825195388,0.850536008,10.77897835,5.283218059,8.753120154,15.52429136
FRA,2020,67372485.33,0.81817698,0.892114877,0.800767942,0.982998409,10.7033471,4.902497153,7.769610725,18.02574726
