iso2_code;language;exit01;consider00;pci;ubiquity;rca01;density
AE;CSS;0;1;-1.2027521866672362;108.0;1.0;0.5743412418649025
AE;Dart;0;1;-0.6261940594326862;37.0;1.0;0.389743802349171
AE;Dockerfile;0;1;0.9560592557597312;45.0;1.0;0.1435710820339845
AE;HTML;0;1;-1.301666052482916;116.0;1.0;0.5695522388059701
AE;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.5372959996306641
AE;Jupyter Notebook;0;1;0.5041818405099832;24.0;1.0;0.1618387500037215
AE;Kotlin;0;1;-0.3724228316395753;56.0;1.0;0.3653205926882272
AE;Objective-C;0;1;0.1124218654706702;45.0;1.0;0.253527194732789
AE;PHP;0;1;-0.7076885850632202;95.0;1.0;0.4227454577314875
AE;PowerShell;1;0;0.9807277362742748;37.0;0.0;0.1421296557101155
AE;Python;0;1;-0.0611221261375305;55.0;1.0;0.2284661927637877
AE;Ruby;0;1;-0.8068791632433246;56.0;1.0;0.3713242055051711
AE;SCSS;0;1;-0.6453042817682486;90.0;1.0;0.4149829452075825
AE;Shell;0;1;-0.2362835280042434;76.0;1.0;0.2509650577396484
AE;Swift;0;1;-0.3891974708374764;48.0;1.0;0.3478126794664132
AE;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.3018849049382931
AF;CSS;0;1;-1.2027521866672362;108.0;1.0;0.1872119402851371
AF;HTML;0;1;-1.301666052482916;116.0;1.0;0.1946268656716417
AF;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.1715242030424044
AL;C#;0;1;0.0188258694979645;68.0;1.0;0.2217693517635714
AL;CSS;0;1;-1.2027521866672362;108.0;1.0;0.5021749581580901
AL;HTML;0;1;-1.301666052482916;116.0;1.0;0.4991044776119402
AL;Hack;0;1;-0.4422427712823875;53.0;1.0;0.2798371321293337
AL;Java;0;1;-0.6507630317877583;71.0;1.0;0.3389118888705135
AL;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.4601786662357748
AL;PHP;0;1;-0.7076885850632202;95.0;1.0;0.3621337307932936
AL;SCSS;0;1;-0.6453042817682486;90.0;1.0;0.3556906761407834
AL;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.254350645416815
AM;Blade;0;1;-0.4606071616066987;54.0;1.0;0.3336836530725314
AM;C#;0;1;0.0188258694979645;68.0;1.0;0.2418459061647827
AM;CSS;0;1;-1.2027521866672362;108.0;1.0;0.5248033691509042
AM;HTML;0;1;-1.301666052482916;116.0;1.0;0.5223880597014925
AM;Java;1;0;-0.6507630317877583;71.0;0.0;0.3582588578239962
AM;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.4832067588467487
AM;Kotlin;0;1;-0.3724228316395753;56.0;1.0;0.3181622308833796
AM;PHP;0;1;-0.7076885850632202;95.0;1.0;0.382818685224582
AM;SCSS;0;1;-0.6453042817682486;90.0;1.0;0.3759488680719398
AM;Swift;0;1;-0.3891974708374764;48.0;1.0;0.2904187186671094
AM;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.2690129543239377
AM;Vue;0;1;-0.5836902257250292;48.0;1.0;0.3398436280717342
AO;CSS;0;1;-1.2027521866672362;108.0;1.0;0.2685519041241715
AO;HTML;0;1;-1.301666052482916;116.0;1.0;0.2722388059701492
AO;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.2459638512499711
AO;PHP;0;1;-0.7076885850632202;95.0;1.0;0.1692345045852323
AR;ASP.NET;0;1;0.2839207989057119;38.0;1.0;0.3749200699682998
AR;Blade;1;0;-0.4606071616066987;54.0;0.0;0.4499860392601926
AR;CSS;0;1;-1.2027521866672362;108.0;1.0;0.5645559830571991
AR;HTML;0;1;-1.301666052482916;116.0;1.0;0.5599999999999998
AR;Handlebars;0;1;0.5818876464806688;36.0;1.0;0.3225265779508327
AR;Haskell;0;1;1.9623878374578083;27.0;1.0;0.2008532690837937
AR;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.5292629440686966
AR;PHP;1;0;-0.7076885850632202;95.0;0.0;0.4583428211713791
AR;Processing;0;1;1.959372777563714;17.0;1.0;0.1732794923988818
AR;Prolog;0;1;2.138726344171145;18.0;1.0;0.1685279613830305
AR;Pug;0;1;0.7514203585698376;30.0;1.0;0.3326593081337166
AR;SCSS;0;1;-0.6453042817682486;90.0;1.0;0.4456172842254288
AR;Sass;1;0;1.316775834063194;30.0;0.0;0.2452801034011356
AR;Smalltalk;0;1;2.0143853326850647;26.0;1.0;0.1924217251575654
AR;Solidity;0;1;1.6125766148838336;21.0;1.0;0.2038300168769796
AR;TSQL;0;1;-0.3714486086470449;61.0;1.0;0.4182649582691283
AR;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.3782708045673348
AR;Visual Basic .NET;0;1;1.7511325394248385;16.0;1.0;0.1741730481175513
AT;ANTLR;0;1;2.3351594763290353;17.0;1.0;0.3885994332860443
AT;Assembly;0;1;1.9556408637492584;32.0;1.0;0.5778663147022107
AT;Awk;0;1;2.168861430987413;27.0;1.0;0.5561479885172627
AT;Batchfile;0;1;1.7471843555744355;36.0;1.0;0.5857508789934156
AT;C;0;1;1.5037980944476748;37.0;1.0;0.5892854351900999
AT;C#;0;1;0.0188258694979645;68.0;1.0;0.5653673952064486
AT;C++;0;1;1.178963277107531;36.0;1.0;0.5797757912011565
AT;CMake;0;1;1.802764150627622;35.0;1.0;0.5877481723867553
AT;Clojure;0;1;2.275876532939631;20.0;1.0;0.4673571660717289
AT;Dockerfile;0;1;0.9560592557597312;45.0;1.0;0.576609996204356
AT;Emacs Lisp;0;1;2.1604705838838676;22.0;1.0;0.5246523841247245
AT;GLSL;0;1;1.9639052813494415;29.0;1.0;0.563819639709477
AT;Gherkin;0;1;1.6722234608574271;27.0;1.0;0.5539530429442902
AT;Groovy;0;1;2.0436612163259795;28.0;1.0;0.548282253877441
AT;HLSL;0;1;1.4017091273836253;36.0;1.0;0.5628463113804649
AT;Handlebars;0;1;0.5818876464806688;36.0;1.0;0.5658901152641476
