iso2_code;cluster_id;exit01;consider00;pci;ubiquity;rca01;density
AE;5.0;0;1;-0.4200124488780521;50.0;1.0;0.3887698365026414
AE;18.0;0;1;-0.0693373471202559;78.0;1.0;0.3345995717014661
AE;21.0;0;1;-0.6022948079582562;79.0;1.0;0.4213699449204244
AE;25.0;0;1;-0.6963174199001649;88.0;1.0;0.4943537973940604
AF;1.0;0;1;-1.5310079173161562;85.0;1.0;0.1362368489447435
AL;1.0;0;1;-1.5310079173161562;85.0;1.0;0.5944950260821161
AL;8.0;0;1;-0.6974731199781783;89.0;1.0;0.4863813229571984
AL;18.0;0;1;-0.0693373471202559;78.0;1.0;0.35343914829285
AL;19.0;0;1;-0.609234573418944;79.0;1.0;0.4706719424181674
AL;25.0;0;1;-0.6963174199001649;88.0;1.0;0.5246507806080526
AM;1.0;0;1;-1.5310079173161562;85.0;1.0;0.5944950260821161
AM;2.0;1;0;1.0484893605030807;36.0;0.0;0.1165617852559985
AM;5.0;0;1;-0.4200124488780521;50.0;1.0;0.4293756099211658
AM;8.0;0;1;-0.6974731199781783;89.0;1.0;0.5058365758754864
AM;18.0;0;1;-0.0693373471202559;78.0;1.0;0.3852372229669721
AM;19.0;0;1;-0.609234573418944;79.0;1.0;0.4941976338662488
AM;21.0;0;1;-0.6022948079582562;79.0;1.0;0.471087701024154
AM;25.0;0;1;-0.6963174199001649;88.0;1.0;0.5549477638220449
AO;1.0;0;1;-1.5310079173161562;85.0;1.0;0.2686558245284447
AO;8.0;0;1;-0.6974731199781783;89.0;1.0;0.1760700389105058
AO;11.0;0;1;-0.4593823573642202;70.0;1.0;0.1237834838110255
AR;1.0;0;1;-1.5310079173161562;85.0;1.0;0.5972270484540027
AR;8.0;1;0;-0.6974731199781783;89.0;0.0;0.522373540856031
AR;15.0;0;1;-0.2855043385199975;64.0;1.0;0.5459278973340307
AR;17.0;0;1;0.620670340877194;35.0;1.0;0.5303680185610038
AR;19.0;0;1;-0.609234573418944;79.0;1.0;0.5068718570999001
AR;28.0;1;0;1.9259977411386708;28.0;0.0;0.3267564178080365
AR;38.0;0;1;1.0508612525067018;33.0;1.0;0.4669128668944798
AR;41.0;1;0;1.7318867513913807;36.0;0.0;0.3523862861388595
AR;44.0;0;1;1.9913303742576696;20.0;1.0;0.2763110249352377
AR;50.0;0;1;1.3862523463271288;30.0;1.0;0.3934103706437128
AR;54.0;0;1;1.0289466672147716;42.0;1.0;0.4619029126914783
AT;2.0;0;1;1.0484893605030807;36.0;1.0;0.6455527301089132
AT;3.0;0;1;1.4108308443018556;38.0;1.0;0.6485267597695359
AT;4.0;0;1;1.5486534289849945;32.0;1.0;0.6485523212819171
AT;7.0;0;1;1.9386150162506528;27.0;1.0;0.6362098377049292
AT;9.0;0;1;1.6229599702141266;36.0;1.0;0.6855008697134178
AT;11.0;0;1;-0.4593823573642202;70.0;1.0;0.5879175177949648
AT;12.0;0;1;1.8350581991636397;24.0;1.0;0.6286044377550885
AT;14.0;0;1;1.8929594941972712;30.0;1.0;0.6511109111519644
AT;16.0;0;1;1.6264851572309549;31.0;1.0;0.6561005780358697
AT;18.0;0;1;-0.0693373471202559;78.0;1.0;0.61154271883818
AT;20.0;0;1;1.6938870086519855;27.0;1.0;0.6437896963295298
