iso2_code;language;exit01;consider00;pci;ubiquity;rca01;density
AE;Dart;0;1;-0.2403243402541655;34.0;1.0;0.2928017921018341
AE;Kotlin;0;1;-0.2257189392439794;43.0;1.0;0.2616370487416239
AE;Swift;0;1;-0.2815696792495937;31.0;1.0;0.2916339056656599
AF;CSS;0;1;-1.1116255854191277;75.0;1.0;0.296192580967944
AF;HTML;0;1;-1.2483274054571052;80.0;1.0;0.3295638126009693
AF;JavaScript;0;1;-1.1724989856494688;65.0;1.0;0.3180508784030511
AL;C#;0;1;0.2273563710375963;47.0;1.0;0.2598660384193074
AL;CSS;0;1;-1.1116255854191277;75.0;1.0;0.6496224255469251
AL;HTML;0;1;-1.2483274054571052;80.0;1.0;0.6639741518578353
AL;Hack;0;1;-0.1845136343820032;45.0;1.0;0.3565722479382626
AL;JavaScript;0;1;-1.1724989856494688;65.0;1.0;0.6533452347141641
AL;PHP;0;1;-0.5141433734695996;78.0;1.0;0.4372083304311486
AL;SCSS;0;1;-0.6799695219172239;58.0;1.0;0.531869014518413
AL;TypeScript;0;1;-0.2120817021376991;50.0;1.0;0.4245745828844094
AM;Blade;0;1;-0.1487645679664171;49.0;1.0;0.4006882141419706
AM;CSS;1;0;-1.1116255854191277;75.0;0.0;0.6361463649910375
AM;HTML;1;0;-1.2483274054571052;80.0;0.0;0.6688206785137318
AM;PHP;1;0;-0.5141433734695996;78.0;0.0;0.4446379234287572
AM;SCSS;0;1;-0.6799695219172239;58.0;1.0;0.5318690145184131
AM;TypeScript;0;1;-0.2120817021376991;50.0;1.0;0.3892818239679865
AM;Vue;0;1;-0.2361018710647685;40.0;1.0;0.3804811933496013
AO;CSS;0;1;-1.1116255854191277;75.0;1.0;0.4070533355409501
AO;HTML;0;1;-1.2483274054571052;80.0;1.0;0.4491114701130856
AO;JavaScript;0;1;-1.1724989856494688;65.0;1.0;0.4391203797622428
AO;PHP;0;1;-0.5141433734695996;78.0;1.0;0.2152492396275916
AO;Shell;1;0;-0.9880276079204786;32.0;0.0;0.2122477431622602
AR;CSS;0;1;-1.1116255854191277;75.0;1.0;0.5945015945231907
AR;Hack;1;0;-0.1845136343820032;45.0;0.0;0.4474526032193201
AR;Handlebars;0;1;0.4675917461075199;23.0;1.0;0.3774998854988894
AR;JavaScript;0;1;-1.1724989856494688;65.0;1.0;0.5845741875278938
AR;Processing;0;1;1.6247710361481782;17.0;1.0;0.13424274645121
AR;SCSS;0;1;-0.6799695219172239;58.0;1.0;0.5618491563645958
AR;Smalltalk;0;1;1.7406500650449153;17.0;1.0;0.1329266773062094
AR;Solidity;1;0;1.1953617836624677;14.0;0.0;0.1751007787584933
AR;TSQL;0;1;-0.1940627959837612;46.0;1.0;0.4767595703933314
AR;Visual Basic .NET;0;1;1.3645571551828335;13.0;1.0;0.1311252042653566
AT;ANTLR;0;1;1.8369794642793325;13.0;1.0;0.3952898911037706
AT;Awk;0;1;1.8907144014068444;15.0;1.0;0.5149293610737056
AT;Batchfile;0;1;1.6717726639101225;12.0;1.0;0.515022425515989
AT;C;1;0;1.2784496689926468;15.0;0.0;0.5893303554500935
AT;C#;0;1;0.2273563710375963;47.0;1.0;0.477460735517843
AT;CMake;0;1;1.6016361954331813;19.0;1.0;0.5512431562817646
AT;Clojure;0;1;1.888204336683653;15.0;1.0;0.4739838599303576
AT;Dockerfile;0;1;1.0107673823842602;19.0;1.0;0.5801430210189531
AT;Emacs Lisp;0;1;1.937250833117609;17.0;1.0;0.4710787726702119
AT;GLSL;0;1;1.7658415517664936;24.0;1.0;0.5050769342113682
AT;Gherkin;0;1;1.5478721296083566;22.0;1.0;0.5029892781901649
AT;Groovy;0;1;1.6771710073666484;11.0;1.0;0.5138728309037937
AT;Haskell;0;1;1.693755510430972;18.0;1.0;0.5564910223787022
AT;Lex;0;1;1.5517416284944368;15.0;1.0;0.5680535379488011
AT;Lua;0;1;1.742741994116348;19.0;1.0;0.5159161231180918
AT;M4;0;1;1.9266739869876608;17.0;1.0;0.5047003732968451
AT;Makefile;0;1;1.4782959164605505;20.0;1.0;0.5378440575277196
AT;NSIS;0;1;2.0196631409451102;15.0;1.0;0.4207996343792205
AT;PLpgSQL;0;1;1.5465048483642962;17.0;1.0;0.6124673910558528
AT;Perl;0;1;1.908909761911782;17.0;1.0;0.5027214941893922
AT;PowerShell;0;1;1.116761452171574;22.0;1.0;0.5423411044897808
AT;QMake;0;1;1.4795768215855654;20.0;1.0;0.5179157164171121
AT;R;0;1;1.3615818971815483;20.0;1.0;0.4838734883135286
AT;Raku;0;1;1.9678722027758584;15.0;1.0;0.4369072632839725
AT;Roff;0;1;1.8767583192000497;14.0;1.0;0.5260464254837424
AT;Rust;0;1;1.8091679055331764;18.0;1.0;0.5295373427799076
AT;Sass;0;1;0.8662317735484005;18.0;1.0;0.5031059156749811
AT;Smalltalk;0;1;1.7406500650449153;17.0;1.0;0.4727467451411523
AT;Smarty;0;1;1.6783422913808692;17.0;1.0;0.5293785108289283
AT;Tcl;0;1;1.757409327898825;16.0;1.0;0.5502214917374323
AT;TeX;0;1;1.7722635080457172;21.0;1.0;0.5084596401518934
AT;Twig;0;1;1.2964849489112504;19.0;1.0;0.4866076275769095
AT;Vim Script;0;1;1.768820975289696;17.0;1.0;0.5255017703226063
AT;XSLT;0;1;1.6434237283110034;23.0;1.0;0.5519983917985102
AT;Yacc;0;1;1.7978460836499597;15.0;1.0;0.5464868732699057
AT;sed;0;1;1.9598878931334751;16.0;1.0;0.4631447066200282
AU;AppleScript;0;1;2.053364148581593;9.0;1.0;0.5150669241227893
AU;AutoHotkey;0;1;2.0729721560472325;9.0;1.0;0.5423725030235607
AU;C#;0;1;0.2273563710375963;47.0;1.0;0.3938861699671259
AU;DIGITAL Command Language;0;1;1.92646537552658;12.0;1.0;0.5081235772817265
AU;Elixir;0;1;1.8102638238871664;16.0;1.0;0.5265283811354196
AU;Emacs Lisp;0;1;1.937250833117609;17.0;1.0;0.5302444992970721
AU;Erlang;0;1;1.8608136857856068;14.0;1.0;0.5323651907931469
AU;F#;0;1;1.8901177119415733;11.0;1.0;0.5203844013842229
AU;G-code;0;1;2.10306530403411;8.0;1.0;0.5249024697627632
AU;GAP;0;1;2.066313115854936;12.0;1.0;0.5136418497892714
AU;GLSL;0;1;1.7658415517664936;24.0;1.0;0.52389870884458
AU;Gherkin;1;0;1.5478721296083566;22.0;0.0;0.5063476438160089
AU;Gnuplot;0;1;2.0282533034052737;12.0;1.0;0.5254420516132591
AU;HCL;0;1;1.8421476366299367;9.0;1.0;0.4889106788146241
AU;HLSL;0;1;1.5027537652836909;22.0;1.0;0.551604271431505
AU;Haskell;0;1;1.693755510430972;18.0;1.0;0.509799582672344
AU;Inno Setup;0;1;2.0736522037912746;12.0;1.0;0.5361510376517025
AU;Lua;0;1;1.742741994116348;19.0;1.0;0.4903433253163254
AU;Mathematica;0;1;2.0670785112360908;12.0;1.0;0.5401361778574363
AU;Meson;0;1;2.0497209263313847;14.0;1.0;0.5195251150826288
AU;NASL;0;1;2.085036880560909;10.0;1.0;0.499243635835403
AU;NSIS;0;1;2.0196631409451102;15.0;1.0;0.5137823562708758
AU;Nix;0;1;2.02067497203735;13.0;1.0;0.5232117036867409
