iso2_code;year;developers;software_eci_2020;trade_eci_2020;tech_eci_2020;research_eci_2020;iso3_code;pop_o;gdp_o;gdpcap_o;gdp_ppp_o;gdpcap_ppp_o;gini_mean;country;emissions;nat_res
AD;2020;1221;;;;;AND;77.265;2891001.149;37.417;;;;;;
AE;2020;115174;-0.2942613580288957;0.1530116253;0.1014978468;0.08747186749;ARE;9890.4;358868765.175;36.285;660342979.81;66.766;29.25;ARE;5.933215631;9.836228378
AF;2020;7847;-1.1861853562855649;-1.1857033254;;-1.152204217;AFG;38928.341;20116137.326;0.517;80911742.459;2.078;;;;
AG;2020;619;;;;;ATG;97.928;1370281.481;13.993;1786243.972;18.24;;;;
AI;2020;166;;;;;AIA;;;;;;;;;
AL;2020;33106;-0.6601240718753328;-0.3371321344;-1.021957911;-0.3154368918;ALB;2837.849;15131866.271;5.332;38686086.931;13.632;31.914285714285715;ALB;5.466282146;6.039983596
AM;2020;35517;-0.6077003268670018;-0.3385710384;-0.6565366434;-0.8173432986;ARM;2963.234;12641209.802;4.266;39443691.148;13.311;31.4;ARM;5.55326841;6.826648223
AO;2020;8855;-0.899640597520995;-1.4236978391;;;AGO;32866.268;53619071.176;1.631;212918601.686;6.478;51.3;;;
AR;2020;334830;0.6532963633974823;0.0679716618;0.1834697093;0.9123446193;ARG;45376.762;389591035.521;8.586;942431459.963;20.769;41.92222222222222;ARG;5.953833099;6.963268959
AS;2020;163;;;;;ASM;55.197;709000.0;12.845;;;;;;
AT;2020;163999;1.5603774283546186;1.5401381453;1.493996074;1.608461693;AUT;8916.864;433258467.677;48.589;496544223.814;55.686;30.49;AUT;5.039432328;8.771687884
AU;2020;756016;1.889426776061074;-0.3204629461;1.146030023;2.240927593;AUS;25693.268;1327836171.069;51.68;1369884973.053;53.317;34.275;AUS;6.196125502;9.142135805
AW;2020;1169;;;;;ABW;106.766;2496648.045;23.384;3329266.442;31.183;;;;
AX;2020;446;;;;;;;;;;;;;;
AZ;2020;32201;-0.5900560471967711;-0.5371555737;-0.7597193173;-1.517295754;AZE;10093.121;42693000.0;4.23;146133499.195;14.479;;AZE;5.963188151;7.453342126
BA;2020;31997;-0.6664436420269965;0.5140083002;-0.300841156;-1.274583273;BIH;3280.815;19955120.005;6.082;51175564.234;15.598;33.0;BIH;6.301376983;6.885794225
BB;2020;3533;-1.2864110948733196;;;;BRB;287.371;4689534.962;16.319;4036347.784;14.046;;;;
BD;2020;263579;-0.2945112118025897;-1.1403553759;-1.437971977;-0.2384441218;BGD;164689.377;373902134.7;2.27;987379950.249;5.995;32.25;BGD;5.467702441;2.362133026
BE;2020;239921;1.474712597433408;1.3415543243;1.023345987;1.815174829;BEL;11544.241;521676942.135;45.189;612655349.801;53.07;27.689999999999998;BEL;5.20108326;9.275131697
BF;2020;3146;-1.2864110948733196;-1.6793505901;;-0.5168260402;BFA;20903.278;17933606.353;0.858;47530529.152;2.274;39.15;;;
BG;2020;115696;0.386697321434681;0.5247009749;0.5726929786;-0.5091380486;BGR;6934.015;69889347.433;10.079;170330179.348;24.564;38.120000000000005;BGR;5.766604359;7.792750508
BH;2020;11496;-0.7676128390766916;;;;BHR;1701.583;34723357.447;20.407;74565280.474;43.821;;;;
BI;2020;1237;;;;;BDI;11890.781;2780510.625;0.234;9168995.941;0.771;38.6;;;
BJ;2020;7838;-0.899640597520995;;;-0.3974556994;BEN;12123.198;15651545.332;1.291;42493487.504;3.505;43.03333333333333;;;
BM;2020;1198;;;;;BMU;63.893;6881662.0;107.706;5128888.009;80.273;;;;
BN;2020;4540;-1.2864110948733196;;;;BRN;437.483;12005825.77;27.443;28702100.628;65.607;;;;
BO;2020;43548;-0.5423619214106232;-0.9811479694;;-0.4930533454;BOL;11673.029;36629843.806;3.138;96689230.653;8.283;45.42222222222223;;;
BQ;2020;203;;;;;BES;;;;;;;;;
BR;2020;1614859;0.606043479116882;0.4390391759;1.180880384;1.280930479;BRA;212559.402;1448565936.74;6.815;3153147446.348;14.834;52.98888888888889;BRA;5.849379726;6.717781198
BS;2020;3070;;;;;BHS;393.248;9699500.0;24.665;11429658.543;29.065;;;;
BT;2020;2193;;;;;BTN;771.612;2315436.303;3.001;8587507.955;11.129;38.099999999999994;;;
BW;2020;5128;-1.2864110948733196;-0.573681215;;-0.4291353199;BWA;2351.625;14930072.799;6.349;36382213.329;15.471;53.3;;;
