year;iso2_code;language;num_pushers;e_p;e_c;e;rca;rca01;entry01
2020;AD;AIDL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;AIDL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;AMPL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;AMPL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;ANTLR;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;ANTLR;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;ASP.NET;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;ASP.NET;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;ActionScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;ActionScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Ada;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Ada;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Apex;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Apex;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;AppleScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;AppleScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Assembly;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Assembly;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Astro;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Astro;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;AutoHotkey;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;AutoHotkey;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Awk;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Awk;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Batchfile;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Batchfile;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Blade;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Blade;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Brainfuck;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Brainfuck;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;C;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;C;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;C#;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;C#;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;C++;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;C++;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;CMake;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;CMake;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;CSS;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;CSS;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Clojure;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Clojure;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;CoffeeScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;CoffeeScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Common Lisp;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Common Lisp;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Cuda;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Cuda;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Cython;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Cython;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;D;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;D;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;DIGITAL Command Language;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;DIGITAL Command Language;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;DTrace;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;DTrace;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Dart;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Dart;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Dockerfile;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Dockerfile;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;EJS;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;EJS;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Elixir;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Elixir;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Elm;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Elm;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Emacs Lisp;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Emacs Lisp;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Erlang;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Erlang;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;F#;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;F#;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Forth;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Forth;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;AD;Fortran;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;AD;Fortran;0.0;0.0;0.0;0.0;0.0;0.0;0
