period;language_1;language_2;proximity;year
1;ANTLR;ANTLR;1.0;2020
1;ANTLR;ASP.NET;0.07894736842105263;2020
1;ANTLR;Ada;0.35294117647058826;2020
1;ANTLR;Apex;0.23529411764705882;2020
1;ANTLR;AppleScript;0.47058823529411764;2020
1;ANTLR;Assembly;0.46875;2020
1;ANTLR;AutoHotkey;0.47058823529411764;2020
1;ANTLR;Awk;0.5185185185185185;2020
1;ANTLR;Batchfile;0.4166666666666667;2020
1;ANTLR;Blade;0.037037037037037035;2020
1;ANTLR;Brainfuck;0.23529411764705882;2020
1;ANTLR;Brightscript;0.0;2020
1;ANTLR;C;0.3783783783783784;2020
1;ANTLR;C#;0.10294117647058823;2020
1;ANTLR;C++;0.3333333333333333;2020
1;ANTLR;CMake;0.45714285714285713;2020
1;ANTLR;CSS;0.009259259259259259;2020
1;ANTLR;Clojure;0.65;2020
1;ANTLR;CoffeeScript;0.15789473684210525;2020
1;ANTLR;Common Lisp;0.6470588235294118;2020
1;ANTLR;Crystal;0.29411764705882354;2020
1;ANTLR;Cuda;0.5882352941176471;2020
1;ANTLR;D;0.47058823529411764;2020
1;ANTLR;DIGITAL Command Language;0.6470588235294118;2020
1;ANTLR;DTrace;0.47058823529411764;2020
1;ANTLR;Dart;0.05405405405405406;2020
1;ANTLR;Dockerfile;0.3111111111111111;2020
1;ANTLR;Elixir;0.631578947368421;2020
1;ANTLR;Emacs Lisp;0.5;2020
1;ANTLR;Erlang;0.5882352941176471;2020
1;ANTLR;F#;0.5294117647058824;2020
1;ANTLR;Factor;0.0;2020
1;ANTLR;Forth;0.5882352941176471;2020
1;ANTLR;Fortran;0.5882352941176471;2020
1;ANTLR;FreeMarker;0.47058823529411764;2020
1;ANTLR;G-code;0.47058823529411764;2020
1;ANTLR;GAP;0.7058823529411765;2020
1;ANTLR;GDB;0.7777777777777778;2020
1;ANTLR;GDScript;0.47058823529411764;2020
1;ANTLR;GLSL;0.4482758620689655;2020
1;ANTLR;Game Maker Language;0.058823529411764705;2020
1;ANTLR;Gherkin;0.37037037037037035;2020
1;ANTLR;Gnuplot;0.5882352941176471;2020
1;ANTLR;Go;0.34615384615384615;2020
1;ANTLR;Groovy;0.5714285714285714;2020
1;ANTLR;HCL;0.43478260869565216;2020
1;ANTLR;HLSL;0.3333333333333333;2020
1;ANTLR;HTML;0.008620689655172414;2020
1;ANTLR;Hack;0.07547169811320754;2020
1;ANTLR;Haml;0.35294117647058826;2020
1;ANTLR;Handlebars;0.16666666666666666;2020
1;ANTLR;Haskell;0.48148148148148145;2020
1;ANTLR;HyPhy;0.0;2020
1;ANTLR;IDL;0.17647058823529413;2020
1;ANTLR;Inno Setup;0.6470588235294118;2020
1;ANTLR;Java;0.08450704225352113;2020
1;ANTLR;JavaScript;0.017699115044247787;2020
1;ANTLR;Julia;0.5882352941176471;2020
1;ANTLR;Jupyter Notebook;0.20833333333333334;2020
1;ANTLR;Kotlin;0.08928571428571429;2020
1;ANTLR;LLVM;0.35294117647058826;2020
1;ANTLR;LOLCODE;0.0;2020
1;ANTLR;Less;0.09090909090909091;2020
1;ANTLR;Lex;0.5769230769230769;2020
1;ANTLR;Lua;0.5172413793103449;2020
1;ANTLR;M;0.6470588235294118;2020
1;ANTLR;M4;0.5333333333333333;2020
1;ANTLR;MATLAB;0.52;2020
1;ANTLR;Makefile;0.3684210526315789;2020
1;ANTLR;Mako;0.5714285714285714;2020
1;ANTLR;Mathematica;0.5882352941176471;2020
1;ANTLR;Meson;0.7058823529411765;2020
1;ANTLR;NASL;0.8235294117647058;2020
1;ANTLR;NCL;0.058823529411764705;2020
1;ANTLR;NSIS;0.8333333333333334;2020
1;ANTLR;Nemerle;0.0;2020
1;ANTLR;Nix;0.5882352941176471;2020
1;ANTLR;OCaml;0.5294117647058824;2020
1;ANTLR;Objective-C;0.17777777777777778;2020
1;ANTLR;Objective-C++;0.5769230769230769;2020
1;ANTLR;OpenSCAD;0.5294117647058824;2020
1;ANTLR;PHP;0.07368421052631578;2020
1;ANTLR;PLSQL;0.56;2020
1;ANTLR;PLpgSQL;0.53125;2020
1;ANTLR;Pascal;0.6190476190476191;2020
1;ANTLR;Pawn;0.5882352941176471;2020
1;ANTLR;Perl;0.43333333333333335;2020
1;ANTLR;PostScript;0.8235294117647058;2020
1;ANTLR;PowerShell;0.2972972972972973;2020
1;ANTLR;Processing;0.5294117647058824;2020
1;ANTLR;Prolog;0.6666666666666666;2020
1;ANTLR;Pug;0.13333333333333333;2020
1;ANTLR;Puppet;0.4117647058823529;2020
1;ANTLR;PureBasic;0.5294117647058824;2020
1;ANTLR;Python;0.2;2020
1;ANTLR;QML;0.6470588235294118;2020
1;ANTLR;QMake;0.43478260869565216;2020
1;ANTLR;R;0.3548387096774194;2020
1;ANTLR;Racket;0.29411764705882354;2020
1;ANTLR;Raku;0.75;2020
1;ANTLR;Rebol;0.5882352941176471;2020
1;ANTLR;Roff;0.5172413793103449;2020
1;ANTLR;Ruby;0.08928571428571429;2020
1;ANTLR;Rust;0.52;2020
1;ANTLR;SCSS;0.06666666666666667;2020
1;ANTLR;SQLPL;0.6818181818181818;2020
1;ANTLR;SWIG;0.7058823529411765;2020
1;ANTLR;Sass;0.4;2020
1;ANTLR;Scala;0.5172413793103449;2020
1;ANTLR;Scheme;0.6470588235294118;2020
1;ANTLR;ShaderLab;0.3333333333333333;2020
1;ANTLR;Shell;0.17105263157894737;2020
1;ANTLR;SmPL;0.5294117647058824;2020
1;ANTLR;Smalltalk;0.5384615384615384;2020
1;ANTLR;Smarty;0.5;2020
1;ANTLR;Solidity;0.5238095238095238;2020
