language_1;language_2;proximity;year
ANTLR;NASL;0.8235294117647058;2020
ANTLR;NSIS;0.8333333333333334;2020
ASP.NET;Handlebars;0.6842105263157895;2020
Ada;Crystal;0.6666666666666666;2020
Ada;XS;0.6923076923076923;2020
Apex;Brainfuck;0.8571428571428571;2020
Apex;IDL;0.4285714285714285;2020
Apex;LOLCODE;0.4285714285714285;2020
Apex;Racket;0.7142857142857143;2020
AppleScript;AutoHotkey;0.8;2020
AppleScript;DTrace;0.7777777777777778;2020
AppleScript;Standard ML;0.5555555555555556;2020
Assembly;Batchfile;0.8611111111111112;2020
Assembly;M4;0.875;2020
Assembly;Perl;0.84375;2020
AutoHotkey;D;0.75;2020
AutoHotkey;G-code;0.8;2020
Awk;Haskell;0.7777777777777778;2020
Awk;M4;0.8666666666666667;2020
Awk;Objective-C++;0.925925925925926;2020
Awk;Yacc;0.8888888888888888;2020
Batchfile;CMake;0.8888888888888888;2020
Batchfile;HLSL;0.6944444444444444;2020
Batchfile;Makefile;0.8421052631578947;2020
Batchfile;PowerShell;0.7297297297297297;2020
Blade;Hack;0.8148148148148148;2020
Blade;Kotlin;0.6607142857142857;2020
Blade;Less;0.7037037037037037;2020
Blade;Vue;0.7037037037037037;2020
Brightscript;Factor;1.0;2020
Brightscript;HyPhy;1.0;2020
Brightscript;LOLCODE;0.3333333333333333;2020
Brightscript;Nemerle;1.0;2020
C;C++;0.7837837837837838;2020
C;Makefile;0.868421052631579;2020
C#;TypeScript;0.72;2020
CSS;HTML;0.9051724137931034;2020
CSS;JavaScript;0.9292035398230089;2020
CSS;PHP;0.7685185185185185;2020
Clojure;sed;0.7727272727272727;2020
CoffeeScript;Rebol;0.4210526315789473;2020
CoffeeScript;Starlark;0.4210526315789473;2020
Common Lisp;D;0.8;2020
Common Lisp;Erlang;0.8666666666666667;2020
Common Lisp;Forth;0.8;2020
Common Lisp;Julia;0.8235294117647058;2020
Common Lisp;M;0.8;2020
Common Lisp;Mathematica;0.8;2020
Common Lisp;Meson;0.8;2020
Common Lisp;Scheme;0.8666666666666667;2020
Common Lisp;Svelte;0.8235294117647058;2020
Cuda;GDB;0.6666666666666666;2020
Cuda;Verilog;0.6875;2020
D;OCaml;0.8333333333333334;2020
DIGITAL Command Language;Vim Snippet;0.8571428571428571;2020
DTrace;Haml;0.7777777777777778;2020
DTrace;Pawn;0.8181818181818182;2020
DTrace;Thrift;0.7777777777777778;2020
Dart;Handlebars;0.5405405405405406;2020
Dart;Swift;0.6875;2020
Dockerfile;Makefile;0.7555555555555555;2020
Dockerfile;Shell;0.5394736842105263;2020
Elixir;Julia;0.8421052631578947;2020
Elixir;Mako;0.7142857142857143;2020
Elixir;Prolog;0.8421052631578947;2020
Emacs Lisp;HCL;0.782608695652174;2020
Emacs Lisp;Rust;0.88;2020
Erlang;F#;0.8666666666666667;2020
Erlang;VBScript;0.8666666666666667;2020
Forth;QML;0.7692307692307693;2020
Forth;XS;0.7692307692307693;2020
Fortran;Julia;0.7647058823529411;2020
FreeMarker;SWIG;0.5833333333333334;2020
FreeMarker;Stylus;0.5;2020
G-code;OpenSCAD;0.8888888888888888;2020
G-code;Puppet;0.875;2020
GAP;Inno Setup;0.8461538461538461;2020
GAP;SWIG;0.8461538461538461;2020
GAP;Vim Snippet;0.8571428571428571;2020
GDB;Raku;0.85;2020
GDScript;OpenSCAD;0.7777777777777778;2020
GDScript;PureBasic;0.75;2020
GDScript;VHDL;0.6666666666666666;2020
GLSL;M4;0.8666666666666667;2020
GLSL;TeX;0.7931034482758621;2020
GLSL;Vim Script;0.8275862068965517;2020
Game Maker Language;IDL;0.3333333333333333;2020
Game Maker Language;NCL;1.0;2020
Gherkin;Groovy;0.7142857142857143;2020
Gnuplot;Inno Setup;0.8333333333333334;2020
Gnuplot;Mathematica;0.8461538461538461;2020
Go;Objective-C++;0.6153846153846154;2020
Groovy;PLSQL;0.75;2020
Groovy;PLpgSQL;0.84375;2020
Groovy;Scala;0.8620689655172413;2020
HLSL;ShaderLab;0.8888888888888888;2020
Hack;TSQL;0.7377049180327869;2020
Haml;LLVM;0.875;2020
Haml;Racket;0.7142857142857143;2020
Haml;SourcePawn;0.8571428571428571;2020
Handlebars;Pug;0.6388888888888888;2020
Java;SCSS;0.6111111111111112;2020
Julia;Processing;0.7647058823529411;2020
Julia;Rebol;0.6470588235294118;2020
Jupyter Notebook;R;0.4193548387096774;2020
Kotlin;Objective-C;0.5892857142857143;2020
Kotlin;Swift;0.6964285714285714;2020
Lex;QMake;0.6538461538461539;2020
Lex;Scala;0.8275862068965517;2020
Lua;Roff;0.896551724137931;2020
M4;Roff;0.9;2020
M4;Scala;0.8666666666666667;2020
M4;Smarty;0.9;2020
MATLAB;Objective-C++;0.7692307692307693;2020
Mako;Twig;0.6666666666666666;2020
Meson;Nix;0.8;2020
NASL;PostScript;1.0;2020
NASL;VBScript;0.8666666666666667;2020
NSIS;Raku;0.9;2020
NSIS;SQLPL;0.7272727272727273;2020
Objective-C++;Smalltalk;0.8076923076923077;2020
Objective-C++;Tcl;0.8846153846153846;2020
Objective-C++;sed;0.8076923076923077;2020
PHP;SCSS;0.8315789473684211;2020
PLpgSQL;XSLT;0.84375;2020
Pascal;sed;0.7727272727272727;2020
Processing;Visual Basic .NET;0.7647058823529411;2020
Pug;ShaderLab;0.6060606060606061;2020
Python;Shell;0.5789473684210527;2020
R;TeX;0.6451612903225806;2020
Raku;sed;0.9090909090909092;2020
Ruby;SCSS;0.5333333333333333;2020
Rust;Vim Script;0.8518518518518519;2020
SCSS;TypeScript;0.6777777777777778;2020
SQLPL;Solidity;0.5909090909090909;2020
Sass;Smalltalk;0.6666666666666666;2020
SmPL;XS;0.8461538461538461;2020
TSQL;TypeScript;0.64;2020
HyPhy;Nemerle;1.0;2020
Factor;Nemerle;1.0;2020
Factor;HyPhy;1.0;2020
HTML;JavaScript;0.9051724137931034;2020
Roff;Smarty;0.9;2020
PostScript;VBScript;0.8666666666666667;2020
Lua;Smarty;0.8666666666666667;2020
Roff;Scala;0.8620689655172413;2020
Awk;Roff;0.8620689655172413;2020
Assembly;CMake;0.8571428571428571;2020
Groovy;Tcl;0.8571428571428571;2020
Awk;Tcl;0.8518518518518519;2020
PLpgSQL;Roff;0.84375;2020
PLpgSQL;Scala;0.84375;2020
PLpgSQL;Smarty;0.84375;2020
Assembly;Roff;0.84375;2020
M4;PLpgSQL;0.84375;2020
Assembly;Awk;0.84375;2020
CMake;Makefile;0.8421052631578947;2020
Smarty;XSLT;0.8387096774193549;2020
Roff;XSLT;0.8387096774193549;2020
GDB;NSIS;0.8333333333333334;2020
Lua;M4;0.8333333333333334;2020
M4;Perl;0.8333333333333334;2020
M4;Objective-C++;0.8333333333333334;2020
M4;Yacc;0.8333333333333334;2020
Perl;Roff;0.8333333333333334;2020
CMake;Roff;0.8285714285714286;2020
CMake;M4;0.8285714285714286;2020
CMake;Smarty;0.8285714285714286;2020
Awk;Scala;0.8275862068965517;2020
GLSL;Roff;0.8275862068965517;2020
Groovy;Roff;0.8275862068965517;2020
Objective-C++;Roff;0.8275862068965517;2020
Julia;Svelte;0.8235294117647058;2020
ANTLR;PostScript;0.8235294117647058;2020
Awk;Groovy;0.8214285714285714;2020
GDB;sed;0.8181818181818182;2020
NSIS;sed;0.8181818181818182;2020
Awk;Vim Script;0.8148148148148148;2020
Objective-C++;Vim Script;0.8148148148148148;2020
Objective-C++;Yacc;0.8148148148148148;2020
Emacs Lisp;Vim Script;0.8148148148148148;2020
Lex;Yacc;0.8148148148148148;2020
Assembly;Smarty;0.8125;2020
Lua;PLpgSQL;0.8125;2020
Assembly;Scala;0.8125;2020
Assembly;GLSL;0.8125;2020
Assembly;PLpgSQL;0.8125;2020
Assembly;Lua;0.8125;2020
C;CMake;0.8108108108108109;2020
Perl;XSLT;0.8064516129032258;2020
M4;XSLT;0.8064516129032258;2020
Batchfile;M4;0.8055555555555556;2020
Batchfile;Smarty;0.8055555555555556;2020
Perl;Vim Script;0.8;2020
Common Lisp;PostScript;0.8;2020
Perl;Smarty;0.8;2020
AutoHotkey;OpenSCAD;0.8;2020
Common Lisp;VBScript;0.8;2020
M4;Tcl;0.8;2020
Scala;Smarty;0.8;2020
NASL;SWIG;0.8;2020
Meson;PostScript;0.8;2020
PostScript;SWIG;0.8;2020
Lex;M4;0.8;2020
M4;Vim Script;0.8;2020
DIGITAL Command Language;VBScript;0.8;2020
PostScript;Vim Snippet;0.8;2020
Meson;NASL;0.8;2020
F#;VBScript;0.8;2020
PostScript;Scheme;0.8;2020
Mathematica;Scheme;0.8;2020
GAP;PostScript;0.8;2020
VBScript;Vim Snippet;0.8;2020
Common Lisp;F#;0.8;2020
NASL;Vim Snippet;0.8;2020
M;Scheme;0.8;2020
DIGITAL Command Language;PostScript;0.8;2020
DIGITAL Command Language;Erlang;0.8;2020
GLSL;Perl;0.8;2020
Groovy;M4;0.8;2020
DIGITAL Command Language;NASL;0.8;2020
D;Erlang;0.8;2020
CMake;Perl;0.8;2020
CMake;PLpgSQL;0.8;2020
Common Lisp;NASL;0.8;2020
Groovy;Smarty;0.8;2020
Inno Setup;Meson;0.8;2020
GAP;NASL;0.8;2020
NASL;Scheme;0.8;2020
Objective-C++;Scala;0.7931034482758621;2020
Scala;Yacc;0.7931034482758621;2020
Roff;TeX;0.7931034482758621;2020
GLSL;Scala;0.7931034482758621;2020
Lua;Rust;0.7931034482758621;2020
Lua;Vim Script;0.7931034482758621;2020
Awk;GLSL;0.7931034482758621;2020
Roff;Tcl;0.7931034482758621;2020
Roff;Vim Script;0.7931034482758621;2020
GLSL;Lua;0.7931034482758621;2020
Awk;Lua;0.7931034482758621;2020
Roff;Yacc;0.7931034482758621;2020
Lua;Scala;0.7931034482758621;2020
Assembly;Makefile;0.7894736842105263;2020
Common Lisp;Elixir;0.7894736842105263;2020
Elixir;Svelte;0.7894736842105263;2020
D;F#;0.7857142857142857;2020
M;Mathematica;0.7857142857142857;2020
Gnuplot;Nix;0.7857142857142857;2020
M;SWIG;0.7857142857142857;2020
F#;OCaml;0.7857142857142857;2020
Groovy;Objective-C++;0.7857142857142857;2020
GAP;M;0.7857142857142857;2020
DIGITAL Command Language;GAP;0.7857142857142857;2020
Mathematica;Nix;0.7857142857142857;2020
TeX;Vim Script;0.7857142857142857;2020
Awk;PLpgSQL;0.78125;2020
Assembly;Objective-C++;0.78125;2020
Assembly;Yacc;0.78125;2020
AppleScript;G-code;0.7777777777777778;2020
Batchfile;Roff;0.7777777777777778;2020
DTrace;SourcePawn;0.7777777777777778;2020
Awk;Lex;0.7777777777777778;2020
Common Lisp;Prolog;0.7777777777777778;2020
Batchfile;Perl;0.7777777777777778;2020
Julia;Prolog;0.7777777777777778;2020
DTrace;LLVM;0.7777777777777778;2020
Batchfile;PLpgSQL;0.7777777777777778;2020
AppleScript;Puppet;0.7777777777777778;2020
Awk;Rust;0.7777777777777778;2020
NASL;NSIS;0.7777777777777778;2020
GDB;PostScript;0.7777777777777778;2020
Batchfile;Lua;0.7777777777777778;2020
GDB;NASL;0.7777777777777778;2020
AppleScript;OpenSCAD;0.7777777777777778;2020
ANTLR;GDB;0.7777777777777778;2020
Awk;Emacs Lisp;0.7777777777777778;2020
NSIS;PostScript;0.7777777777777778;2020
Meson;NSIS;0.7777777777777778;2020
OpenSCAD;Puppet;0.7777777777777778;2020
Groovy;XSLT;0.7741935483870968;2020
Lua;XSLT;0.7741935483870968;2020
GLSL;XSLT;0.7741935483870968;2020
Scala;XSLT;0.7741935483870968;2020
CMake;GLSL;0.7714285714285715;2020
CMake;Lua;0.7714285714285715;2020
CMake;XSLT;0.7714285714285715;2020
Inno Setup;Mathematica;0.7692307692307693;2020
Smalltalk;sed;0.7692307692307693;2020
GAP;Gnuplot;0.7692307692307693;2020
GAP;Mathematica;0.7692307692307693;2020
Objective-C++;Rust;0.7692307692307693;2020
Emacs Lisp;Objective-C++;0.7692307692307693;2020
MATLAB;Tcl;0.7692307692307693;2020
Mathematica;SWIG;0.7692307692307693;2020
D;Forth;0.7692307692307693;2020
Smalltalk;Tcl;0.7692307692307693;2020
Lex;Objective-C++;0.7692307692307693;2020
Lex;Tcl;0.7692307692307693;2020
Forth;OCaml;0.7692307692307693;2020
Perl;TeX;0.7666666666666667;2020
Awk;Perl;0.7666666666666667;2020
Lua;Perl;0.7666666666666667;2020
Smarty;Vim Script;0.7666666666666667;2020
GLSL;Smarty;0.7666666666666667;2020
Awk;Smarty;0.7666666666666667;2020
M4;Rust;0.7666666666666667;2020
Objective-C++;Perl;0.7666666666666667;2020
Smarty;TeX;0.7666666666666667;2020
Smarty;Tcl;0.7666666666666667;2020
Scheme;Svelte;0.7647058823529411;2020
Julia;Scheme;0.7647058823529411;2020
Meson;Svelte;0.7647058823529411;2020
Makefile;Perl;0.7631578947368421;2020
Pascal;Raku;0.7619047619047619;2020
Rust;Scala;0.7586206896551724;2020
Lex;Roff;0.7586206896551724;2020
GLSL;Objective-C++;0.7586206896551724;2020
Groovy;Lua;0.7586206896551724;2020
Roff;Rust;0.7586206896551724;2020
Scala;Tcl;0.7586206896551724;2020
Lua;TeX;0.7586206896551724;2020
Lua;Objective-C++;0.7586206896551724;2020
GLSL;Rust;0.7586206896551724;2020
Batchfile;C;0.7567567567567568;2020
Assembly;C;0.7567567567567568;2020
JavaScript;PHP;0.7522123893805309;2020
Batchfile;XSLT;0.75;2020
Inno Setup;OCaml;0.75;2020
Groovy;Rust;0.75;2020
Assembly;Groovy;0.75;2020
G-code;Haml;0.75;2020
AutoHotkey;Inno Setup;0.75;2020
PLpgSQL;Tcl;0.75;2020
G-code;LLVM;0.75;2020
D;Inno Setup;0.75;2020
Objective-C++;PLpgSQL;0.75;2020
G-code;SourcePawn;0.75;2020
Fortran;Mathematica;0.75;2020
GLSL;PLpgSQL;0.75;2020
Assembly;XSLT;0.75;2020
Inno Setup;OpenSCAD;0.75;2020
Assembly;Vim Script;0.75;2020
Assembly;Tcl;0.75;2020
Groovy;Haskell;0.75;2020
Groovy;Lex;0.75;2020
Clojure;GDB;0.75;2020
Common Lisp;Visual Basic .NET;0.75;2020
Gnuplot;SWIG;0.75;2020
Elixir;Raku;0.75;2020
Inno Setup;SWIG;0.75;2020
Awk;Batchfile;0.75;2020
NASL;Raku;0.75;2020
Clojure;Raku;0.75;2020
PostScript;Raku;0.75;2020
ANTLR;Raku;0.75;2020
