period;language_1;language_2;proximity
1;AIDL;AMPL;0.7692307692307693
1;AIDL;ANTLR;0.5789473684210527
1;AIDL;ASP.NET;0.1
1;AIDL;ActionScript;0.8461538461538461
1;AIDL;Ada;0.6923076923076923
1;AIDL;Apex;0.5384615384615384
1;AIDL;AppleScript;0.8461538461538461
1;AIDL;Assembly;0.06666666666666667
1;AIDL;AutoHotkey;0.7857142857142857
1;AIDL;Awk;0.37142857142857144
1;AIDL;Batchfile;0.0
1;AIDL;Bicep;0.23076923076923078
1;AIDL;Blade;0.017241379310344827
1;AIDL;Brainfuck;0.5384615384615384
1;AIDL;C;0.0
1;AIDL;C#;0.0
1;AIDL;C++;0.0
1;AIDL;CMake;0.041666666666666664
1;AIDL;CSS;0.0
1;AIDL;Clojure;0.52
1;AIDL;CoffeeScript;0.3611111111111111
1;AIDL;Common Lisp;0.5555555555555556
1;AIDL;Cuda;0.48
1;AIDL;Cython;0.4482758620689655
1;AIDL;D;0.7142857142857143
1;AIDL;DIGITAL Command Language;0.7692307692307693
1;AIDL;DTrace;0.7692307692307693
1;AIDL;Dart;0.0196078431372549
1;AIDL;Dockerfile;0.0
1;AIDL;EJS;0.06521739130434782
1;AIDL;Elixir;0.5555555555555556
1;AIDL;Elm;0.5384615384615384
1;AIDL;Emacs Lisp;0.34285714285714286
1;AIDL;Erlang;0.6875
1;AIDL;F#;0.6875
1;AIDL;Forth;0.8461538461538461
1;AIDL;Fortran;0.41379310344827586
1;AIDL;FreeMarker;0.6
1;AIDL;G-code;0.46153846153846156
1;AIDL;GAP;0.6666666666666666
1;AIDL;GDB;0.5416666666666666
1;AIDL;GDScript;0.6153846153846154
1;AIDL;GLSL;0.2682926829268293
1;AIDL;Gherkin;0.23684210526315788
1;AIDL;Gnuplot;0.6666666666666666
1;AIDL;Go;0.02
1;AIDL;Groovy;0.3170731707317073
1;AIDL;HCL;0.2926829268292683
1;AIDL;HLSL;0.17073170731707318
1;AIDL;HTML;0.0
1;AIDL;Hack;0.017857142857142856
1;AIDL;Handlebars;0.09302325581395349
1;AIDL;Haskell;0.375
1;AIDL;Inno Setup;0.625
1;AIDL;Java;0.0
1;AIDL;JavaScript;0.0
1;AIDL;Jinja;0.34210526315789475
1;AIDL;Julia;0.5263157894736842
1;AIDL;Jupyter Notebook;0.0
1;AIDL;Kotlin;0.015625
1;AIDL;LLVM;0.7692307692307693
1;AIDL;Less;0.018518518518518517
1;AIDL;Lex;0.3939393939393939
1;AIDL;Liquid;0.6923076923076923
1;AIDL;Logos;0.6923076923076923
1;AIDL;Lua;0.075
1;AIDL;M;0.6470588235294118
1;AIDL;M4;0.325
1;AIDL;MATLAB;0.16216216216216217
1;AIDL;Makefile;0.0
1;AIDL;Mako;0.48148148148148145
1;AIDL;Mathematica;0.6
1;AIDL;Meson;0.6
1;AIDL;Mustache;0.3170731707317073
1;AIDL;NASL;0.5714285714285714
1;AIDL;NSIS;0.5217391304347826
1;AIDL;Nim;0.6153846153846154
1;AIDL;Nix;0.44
1;AIDL;Nunjucks;0.7333333333333333
1;AIDL;OCaml;0.7857142857142857
1;AIDL;Objective-C;0.0
1;AIDL;Objective-C++;0.37142857142857144
1;AIDL;OpenEdge ABL;0.6153846153846154
1;AIDL;OpenSCAD;0.46153846153846156
1;AIDL;PHP;0.0
1;AIDL;PLSQL;0.48
1;AIDL;PLpgSQL;0.325
1;AIDL;POV-Ray SDL;0.5384615384615384
1;AIDL;Pascal;0.4482758620689655
1;AIDL;Pawn;0.8461538461538461
1;AIDL;Perl;0.06666666666666667
1;AIDL;PostScript;0.6875
1;AIDL;PowerShell;0.018867924528301886
1;AIDL;Processing;0.55
1;AIDL;Prolog;0.5
1;AIDL;Pug;0.1951219512195122
1;AIDL;Puppet;0.46153846153846156
1;AIDL;PureBasic;0.6666666666666666
1;AIDL;Python;0.0
1;AIDL;QML;0.7058823529411765
1;AIDL;QMake;0.35294117647058826
1;AIDL;R;0.044444444444444446
1;AIDL;Raku;0.5
1;AIDL;Rebol;0.42105263157894735
1;AIDL;RobotFramework;0.46153846153846156
1;AIDL;Roff;0.06818181818181818
1;AIDL;Ruby;0.0
1;AIDL;Rust;0.225
1;AIDL;SCSS;0.0
1;AIDL;SQLPL;0.5238095238095238
1;AIDL;SWIG;0.7058823529411765
1;AIDL;Sass;0.35135135135135137
1;AIDL;Scala;0.3076923076923077
1;AIDL;Scheme;0.5789473684210527
1;AIDL;Scilab;0.8461538461538461
1;AIDL;ShaderLab;0.19047619047619047
1;AIDL;Shell;0.0
1;AIDL;SmPL;0.8125
1;AIDL;Smalltalk;0.41379310344827586
1;AIDL;Smarty;0.1
1;AIDL;Solidity;0.37142857142857144
1;AIDL;SourcePawn;0.7692307692307693
1;AIDL;Standard ML;0.9230769230769231
1;AIDL;Starlark;0.13157894736842105
1;AIDL;Stata;0.5384615384615384
1;AIDL;Stylus;0.5652173913043478
1;AIDL;Svelte;0.52
1;AIDL;Swift;0.016129032258064516
1;AIDL;SystemVerilog;0.6923076923076923
1;AIDL;TSQL;0.0196078431372549
1;AIDL;Tcl;0.4
1;AIDL;TeX;0.07317073170731707
1;AIDL;Thrift;0.7692307692307693
1;AIDL;Twig;0.3333333333333333
1;AIDL;TypeScript;0.0
1;AIDL;UnrealScript;0.9230769230769231
1;AIDL;VBA;0.7333333333333333
1;AIDL;VBScript;0.75
1;AIDL;VHDL;0.5714285714285714
1;AIDL;Verilog;0.6
1;AIDL;Vim Script;0.11627906976744186
1;AIDL;Vim Snippet;0.7058823529411765
1;AIDL;Visual Basic .NET;0.7058823529411765
1;AIDL;Vue;0.0
1;AIDL;XS;0.8666666666666667
1;AIDL;XSLT;0.21951219512195122
1;AIDL;Yacc;0.34210526315789475
1;AIDL;sed;0.48148148148148145
1;AMPL;AIDL;0.7692307692307693
1;AMPL;ANTLR;0.5263157894736842
1;AMPL;ASP.NET;0.05
1;AMPL;ActionScript;0.9090909090909091
1;AMPL;Ada;0.8
1;AMPL;Apex;0.6
1;AMPL;AppleScript;0.7692307692307693
1;AMPL;Assembly;0.0
1;AMPL;AutoHotkey;0.7142857142857143
1;AMPL;Awk;0.2857142857142857
1;AMPL;Batchfile;0.0
1;AMPL;Bicep;0.3
1;AMPL;Blade;0.0
1;AMPL;Brainfuck;0.6
1;AMPL;C;0.0
1;AMPL;C#;0.0
1;AMPL;C++;0.0
1;AMPL;CMake;0.0
1;AMPL;CSS;0.0
1;AMPL;Clojure;0.4
1;AMPL;CoffeeScript;0.2777777777777778
1;AMPL;Common Lisp;0.5555555555555556
1;AMPL;Cuda;0.4
1;AMPL;Cython;0.3448275862068966
1;AMPL;D;0.7142857142857143
1;AMPL;DIGITAL Command Language;0.6923076923076923
1;AMPL;DTrace;0.9
1;AMPL;Dart;0.0
1;AMPL;Dockerfile;0.0
1;AMPL;EJS;0.0
1;AMPL;Elixir;0.5555555555555556
1;AMPL;Elm;0.7
1;AMPL;Emacs Lisp;0.2857142857142857
1;AMPL;Erlang;0.625
1;AMPL;F#;0.625
1;AMPL;Forth;0.7692307692307693
1;AMPL;Fortran;0.3448275862068966
1;AMPL;FreeMarker;0.5
1;AMPL;G-code;0.6
1;AMPL;GAP;0.5555555555555556
1;AMPL;GDB;0.4166666666666667
1;AMPL;GDScript;0.6153846153846154
1;AMPL;GLSL;0.1951219512195122
1;AMPL;Gherkin;0.15789473684210525
1;AMPL;Gnuplot;0.6666666666666666
1;AMPL;Go;0.0
1;AMPL;Groovy;0.24390243902439024
1;AMPL;HCL;0.21951219512195122
1;AMPL;HLSL;0.0975609756097561
1;AMPL;HTML;0.0
1;AMPL;Hack;0.0
1;AMPL;Handlebars;0.023255813953488372
1;AMPL;Haskell;0.3125
1;AMPL;Inno Setup;0.625
1;AMPL;Java;0.0
1;AMPL;JavaScript;0.0
1;AMPL;Jinja;0.2631578947368421
1;AMPL;Julia;0.5263157894736842
1;AMPL;Jupyter Notebook;0.0
1;AMPL;Kotlin;0.0
1;AMPL;LLVM;0.9
1;AMPL;Less;0.0
1;AMPL;Lex;0.30303030303030304
1;AMPL;Liquid;0.8
1;AMPL;Logos;0.9
1;AMPL;Lua;0.0
1;AMPL;M;0.5882352941176471
1;AMPL;M4;0.25
1;AMPL;MATLAB;0.08108108108108109
1;AMPL;Makefile;0.0
1;AMPL;Mako;0.37037037037037035
1;AMPL;Mathematica;0.5
1;AMPL;Meson;0.5
1;AMPL;Mustache;0.24390243902439024
1;AMPL;NASL;0.47619047619047616
1;AMPL;NSIS;0.43478260869565216
1;AMPL;Nim;0.7
1;AMPL;Nix;0.4
1;AMPL;Nunjucks;0.6666666666666666
1;AMPL;OCaml;0.7142857142857143
1;AMPL;Objective-C;0.0
1;AMPL;Objective-C++;0.2857142857142857
1;AMPL;OpenEdge ABL;0.8
1;AMPL;OpenSCAD;0.6
1;AMPL;PHP;0.0
1;AMPL;PLSQL;0.4
1;AMPL;PLpgSQL;0.25
1;AMPL;POV-Ray SDL;0.7
1;AMPL;Pascal;0.3448275862068966
