language_1;language_2;proximity;drop
AMPL;G-code;0.8333333333333334;1.0
AMPL;GDScript;0.75;1.0
AMPL;LLVM;0.8571428571428571;1.0
AMPL;Liquid;0.6666666666666666;1.0
AMPL;OpenSCAD;0.8333333333333334;1.0
ANTLR;GAP;0.7857142857142857;1.0
ASP.NET;Dart;0.4722222222222222;1.0
ActionScript;Forth;0.7;1.0
ActionScript;OpenEdge ABL;0.75;1.0
ActionScript;PureBasic;0.7777777777777778;1.0
ActionScript;Scilab;0.7777777777777778;1.0
ActionScript;UnrealScript;0.875;1.0
Ada;Scilab;0.7777777777777778;1.0
Ada;Standard ML;0.75;1.0
Apex;Liquid;0.5;1.0
AppleScript;DIGITAL Command Language;0.8333333333333334;1.0
AppleScript;Inno Setup;0.8;1.0
Assembly;Awk;0.8666666666666667;1.0
Assembly;M4;0.9354838709677419;1.0
AutoHotkey;Elm;0.7777777777777778;1.0
Awk;Go;0.6153846153846154;1.0
Awk;Yacc;0.8461538461538461;1.0
Batchfile;CMake;0.825;1.0
Brainfuck;Nim;0.8;1.0
Brainfuck;OpenEdge ABL;0.6666666666666666;1.0
C;C++;0.8108108108108109;1.0
C;Makefile;0.8157894736842105;1.0
C#;TypeScript;0.7285714285714285;1.0
CMake;M4;0.8571428571428571;1.0
CMake;Makefile;0.868421052631579;1.0
CMake;PowerShell;0.6571428571428571;1.0
CSS;HTML;0.905982905982906;1.0
CSS;JavaScript;0.9380530973451328;1.0
Clojure;Prolog;0.8125;1.0
CoffeeScript;Rebol;0.625;1.0
Common Lisp;F#;0.7857142857142857;1.0
Common Lisp;Processing;0.7333333333333333;1.0
Common Lisp;Prolog;0.875;1.0
Common Lisp;Scheme;0.9285714285714286;1.0
Common Lisp;Svelte;0.8666666666666667;1.0
Cuda;GDB;0.7058823529411765;1.0
D;OCaml;0.9;1.0
D;Scilab;0.8;1.0
DIGITAL Command Language;NASL;0.8461538461538461;1.0
DIGITAL Command Language;Pawn;0.8333333333333334;1.0
DIGITAL Command Language;VBScript;0.9230769230769231;1.0
DIGITAL Command Language;Vim Snippet;0.7692307692307693;1.0
