language_1;language_2;proximity;drop
AIDL;Stylus;0.5;1.0
AIDL;UnrealScript;0.75;1.0
AMPL;Haml;1.0;1.0
AMPL;LLVM;0.875;1.0
AMPL;OpenSCAD;0.7142857142857143;1.0
ANTLR;GAP;0.7857142857142857;1.0
ASP.NET;Less;0.48717948717948717;1.0
ActionScript;OpenEdge ABL;0.75;1.0
ActionScript;Scilab;0.7777777777777778;1.0
ActionScript;UnrealScript;0.875;1.0
Ada;DTrace;0.7777777777777778;1.0
Apex;Astro;0.3333333333333333;1.0
Apex;Nim;0.5;1.0
AppleScript;DIGITAL Command Language;0.9166666666666666;1.0
AppleScript;Pawn;0.9090909090909091;1.0
AppleScript;PostScript;0.9090909090909091;1.0
Assembly;Roff;0.90625;1.0
AutoHotkey;Elm;0.75;1.0
Awk;M4;0.9;1.0
Awk;Scala;0.8928571428571429;1.0
Awk;Yacc;0.8888888888888888;1.0
Batchfile;Makefile;0.8717948717948718;1.0
Blade;Hack;0.6896551724137931;1.0
Blade;Kotlin;0.6551724137931034;1.0
Blade;PHP;0.5773195876288659;1.0
Blade;Vue;0.6551724137931034;1.0
Brainfuck;Nim;0.6666666666666666;1.0
Brainfuck;OpenEdge ABL;0.6666666666666666;1.0
Brainfuck;RobotFramework;0.5714285714285714;1.0
C;C++;0.8717948717948718;1.0
C;Makefile;0.8461538461538461;1.0
C#;Dockerfile;0.48484848484848486;1.0
C#;Java;0.5909090909090909;1.0
C#;TypeScript;0.7142857142857143;1.0
CMake;Makefile;0.8717948717948718;1.0
CMake;PowerShell;0.6857142857142857;1.0
CMake;Roff;0.8857142857142857;1.0
CSS;HTML;0.9416666666666667;1.0
CSS;PHP;0.7304347826086957;1.0
Clojure;Prolog;0.7647058823529411;1.0
Clojure;Svelte;0.7222222222222222;1.0
CoffeeScript;Rebol;0.7142857142857143;1.0
Common Lisp;Erlang;0.8333333333333334;1.0
Common Lisp;Gnuplot;0.8333333333333334;1.0
Common Lisp;Inno Setup;0.8333333333333334;1.0
Common Lisp;Julia;0.8461538461538461;1.0
Common Lisp;Scheme;0.8;1.0
Cuda;Cython;0.7368421052631579;1.0
Cython;GDB;0.7894736842105263;1.0
D;Elm;0.7777777777777778;1.0
D;OCaml;0.9;1.0
D;Scilab;0.8888888888888888;1.0
DIGITAL Command Language;FreeMarker;0.5833333333333334;1.0
DIGITAL Command Language;SWIG;0.8461538461538461;1.0
DIGITAL Command Language;VBA;0.8333333333333334;1.0
DIGITAL Command Language;VBScript;0.8571428571428571;1.0
DTrace;LLVM;0.8888888888888888;1.0
DTrace;Scilab;0.8888888888888888;1.0
DTrace;SourcePawn;0.8888888888888888;1.0
DTrace;Standard ML;0.8;1.0
Dart;Less;0.625;1.0
Dart;Swift;0.8085106382978723;1.0
Dockerfile;Makefile;0.8409090909090909;1.0
EJS;Pug;0.5185185185185185;1.0
Elixir;Fortran;0.8;1.0
Elixir;Processing;0.7333333333333333;1.0
Elixir;Scheme;0.8;1.0
Elm;G-code;0.75;1.0
Emacs Lisp;HCL;0.782608695652174;1.0
Emacs Lisp;Jinja;0.8333333333333334;1.0
Emacs Lisp;Rust;0.9166666666666666;1.0
Erlang;F#;0.9230769230769231;1.0
Erlang;OCaml;0.8333333333333334;1.0
Forth;M;0.75;1.0
Forth;XS;0.75;1.0
G-code;Liquid;0.8333333333333334;1.0
G-code;Puppet;0.8333333333333334;1.0
GAP;SWIG;0.8461538461538461;1.0
GDB;Pascal;0.7894736842105263;1.0
GDB;Raku;0.9473684210526315;1.0
GDB;Smalltalk;0.7619047619047619;1.0
GDB;sed;0.9473684210526315;1.0
GDScript;OCaml;0.7;1.0
GLSL;M4;0.9;1.0
GLSL;Vim Script;0.8928571428571429;1.0
Gherkin;Handlebars;0.46153846153846156;1.0
Gherkin;Smarty;0.7407407407407407;1.0
Gnuplot;Mathematica;0.8181818181818182;1.0
Gnuplot;Nunjucks;0.7272727272727273;1.0
Gnuplot;SWIG;0.8461538461538461;1.0
Go;Roff;0.6451612903225806;1.0
Groovy;Scala;0.8928571428571429;1.0
HLSL;M4;0.7333333333333333;1.0
HLSL;ShaderLab;0.9333333333333333;1.0
HTML;JavaScript;0.9421487603305785;1.0
Hack;TSQL;0.4791666666666667;1.0
Haskell;Jinja;0.8333333333333334;1.0
Jinja;Mustache;0.88;1.0
Jinja;Tcl;0.8333333333333334;1.0
Julia;M;0.7692307692307693;1.0
Jupyter Notebook;R;0.43478260869565216;1.0
Kotlin;Swift;0.7368421052631579;1.0
LLVM;Logos;1.0;1.0
LLVM;SystemVerilog;0.875;1.0
Lex;Tcl;0.8260869565217391;1.0
Lua;PLpgSQL;0.8620689655172413;1.0
M4;Roff;0.967741935483871;1.0
M4;XSLT;0.9;1.0
MATLAB;Tcl;0.76;1.0
Mako;Pascal;0.6842105263157895;1.0
Meson;Raku;0.7777777777777778;1.0
Meson;SQLPL;0.7857142857142857;1.0
Meson;Scheme;0.8666666666666667;1.0
NASL;SWIG;0.8571428571428571;1.0
NSIS;Nix;0.7222222222222222;1.0
NSIS;Raku;0.8888888888888888;1.0
Nunjucks;VHDL;0.8;1.0
Objective-C;Swift;0.7021276595744681;1.0
Objective-C++;Yacc;0.84;1.0
OpenEdge ABL;Thrift;0.6666666666666666;1.0
PHP;SCSS;0.845360824742268;1.0
PHP;Shell;0.5670103092783505;1.0
PLSQL;Raku;0.8333333333333334;1.0
PLpgSQL;Smarty;0.8928571428571429;1.0
Pascal;Sass;0.6956521739130435;1.0
Perl;Roff;0.9032258064516129;1.0
Processing;Visual Basic .NET;0.7857142857142857;1.0
Prolog;Scheme;0.8235294117647058;1.0
Pug;ShaderLab;0.5666666666666667;1.0
Pug;Solidity;0.5555555555555556;1.0
PureBasic;XS;0.75;1.0
Python;Shell;0.5287356321839081;1.0
QML;SQLPL;0.7692307692307693;1.0
QMake;Tcl;0.7391304347826086;1.0
QMake;Twig;0.6363636363636364;1.0
R;TeX;0.8076923076923077;1.0
Rebol;Visual Basic .NET;0.6428571428571429;1.0
Ruby;Swift;0.5531914893617021;1.0
Rust;Vim Script;0.8518518518518519;1.0
SCSS;TypeScript;0.6770833333333334;1.0
SmPL;XS;0.8461538461538461;1.0
Smarty;XSLT;0.8928571428571429;1.0
Solidity;Starlark;0.5416666666666666;1.0
Standard ML;Verilog;0.8181818181818182;1.0
Stata;SystemVerilog;0.7142857142857143;1.0
Tcl;sed;0.782608695652174;1.0
TeX;Vim Script;0.8518518518518519;1.0
VBScript;Vim Snippet;0.7857142857142857;1.0
Logos;LLVM;1.0;
Haml;AMPL;1.0;
Roff;M4;0.967741935483871;
Raku;GDB;0.9473684210526315;
sed;GDB;0.9473684210526315;
JavaScript;HTML;0.9421487603305785;
HTML;CSS;0.9416666666666667;
ShaderLab;HLSL;0.9333333333333333;
JavaScript;CSS;0.9256198347107438;
CSS;JavaScript;0.9256198347107438;
F#;Erlang;0.9230769230769231;
Rust;Emacs Lisp;0.9166666666666666;
DIGITAL Command Language;AppleScript;0.9166666666666666;
Pawn;AppleScript;0.9090909090909091;
PostScript;AppleScript;0.9090909090909091;
Roff;Assembly;0.90625;
Roff;Perl;0.9032258064516129;
M4;GLSL;0.9;
OCaml;D;0.9;
XSLT;M4;0.9;
Perl;M4;0.9;
M4;Awk;0.9;
M4;Perl;0.9;
Raku;sed;0.8947368421052632;
sed;Raku;0.8947368421052632;
XSLT;Smarty;0.8928571428571429;
Scala;Groovy;0.8928571428571429;
Scala;Awk;0.8928571428571429;
Smarty;PLpgSQL;0.8928571428571429;
Vim Script;GLSL;0.8928571428571429;
XSLT;Groovy;0.8928571428571429;
Scala;XSLT;0.8928571428571429;
Groovy;XSLT;0.8928571428571429;
XSLT;Scala;0.8928571428571429;
Scilab;D;0.8888888888888888;
Scilab;LLVM;0.8888888888888888;
Raku;NSIS;0.8888888888888888;
Yacc;Awk;0.8888888888888888;
Scilab;DTrace;0.8888888888888888;
Logos;DTrace;0.8888888888888888;
Scilab;Logos;0.8888888888888888;
DTrace;Logos;0.8888888888888888;
LLVM;DTrace;0.8888888888888888;
Logos;Scilab;0.8888888888888888;
LLVM;Scilab;0.8888888888888888;
SourcePawn;DTrace;0.8888888888888888;
Roff;CMake;0.8857142857142857;
Mustache;Jinja;0.88;
UnrealScript;ActionScript;0.875;
Assembly;M4;0.875;
Logos;SourcePawn;0.875;
Haml;Logos;0.875;
SystemVerilog;LLVM;0.875;
Logos;SystemVerilog;0.875;
Logos;AMPL;0.875;
Haml;LLVM;0.875;
SystemVerilog;Logos;0.875;
AMPL;Logos;0.875;
Logos;Haml;0.875;
LLVM;Haml;0.875;
LLVM;SourcePawn;0.875;
SourcePawn;Logos;0.875;
LLVM;AMPL;0.875;
SourcePawn;LLVM;0.875;
M4;Assembly;0.875;
Makefile;CMake;0.8717948717948718;
Makefile;Batchfile;0.8717948717948718;
C++;C;0.8717948717948718;
Roff;GLSL;0.8709677419354839;
Roff;Awk;0.8709677419354839;
GLSL;Roff;0.8709677419354839;
Roff;XSLT;0.8709677419354839;
Awk;Roff;0.8709677419354839;
XSLT;Roff;0.8709677419354839;
M4;Vim Script;0.8666666666666667;
M4;Scala;0.8666666666666667;
Vim Script;M4;0.8666666666666667;
Scala;M4;0.8666666666666667;
Scheme;Meson;0.8666666666666667;
Vim Script;Perl;0.8620689655172413;
Perl;Vim Script;0.8620689655172413;
PLpgSQL;Lua;0.8620689655172413;
Perl;GLSL;0.8620689655172413;
Perl;XSLT;0.8620689655172413;
GLSL;Perl;0.8620689655172413;
XSLT;Perl;0.8620689655172413;
Scala;GLSL;0.8571428571428571;
XSLT;Vim Script;0.8571428571428571;
SWIG;NASL;0.8571428571428571;
GLSL;Scala;0.8571428571428571;
CMake;M4;0.8571428571428571;
GLSL;XSLT;0.8571428571428571;
PLpgSQL;XSLT;0.8571428571428571;
Haml;SystemVerilog;0.8571428571428571;
Scala;PLpgSQL;0.8571428571428571;
SystemVerilog;AMPL;0.8571428571428571;
Groovy;Smarty;0.8571428571428571;
Scala;Smarty;0.8571428571428571;
XSLT;PLpgSQL;0.8571428571428571;
M4;CMake;0.8571428571428571;
CMake;Assembly;0.8571428571428571;
XSLT;GLSL;0.8571428571428571;
Smarty;Groovy;0.8571428571428571;
Awk;XSLT;0.8571428571428571;
AMPL;SystemVerilog;0.8571428571428571;
Vim Script;XSLT;0.8571428571428571;
XSLT;Awk;0.8571428571428571;
SystemVerilog;Haml;0.8571428571428571;
VBScript;DIGITAL Command Language;0.8571428571428571;
Smarty;Scala;0.8571428571428571;
Awk;GLSL;0.8571428571428571;
GLSL;Awk;0.8571428571428571;
Assembly;CMake;0.8571428571428571;
PLpgSQL;Scala;0.8571428571428571;
Awk;Smarty;0.8518518518518519;
Smarty;Awk;0.8518518518518519;
Smarty;Vim Script;0.8518518518518519;
Vim Script;Awk;0.8518518518518519;
Awk;Vim Script;0.8518518518518519;
Vim Script;Rust;0.8518518518518519;
Vim Script;Smarty;0.8518518518518519;
Vim Script;TeX;0.8518518518518519;
SWIG;Gnuplot;0.8461538461538461;
SWIG;GAP;0.8461538461538461;
SWIG;DIGITAL Command Language;0.8461538461538461;
Makefile;C;0.8461538461538461;
CMake;Batchfile;0.8461538461538461;
Julia;Common Lisp;0.8461538461538461;
XS;SmPL;0.8461538461538461;
Batchfile;CMake;0.8461538461538461;
SCSS;PHP;0.845360824742268;
Awk;Assembly;0.84375;
Assembly;Awk;0.84375;
NSIS;GDB;0.8421052631578947;
NSIS;sed;0.8421052631578947;
GDB;NSIS;0.8421052631578947;
sed;NSIS;0.8421052631578947;
Makefile;Dockerfile;0.8409090909090909;
Yacc;Objective-C++;0.84;
Roff;Vim Script;0.8387096774193549;
Roff;Scala;0.8387096774193549;
Lua;Roff;0.8387096774193549;
Scala;Roff;0.8387096774193549;
Roff;Lua;0.8387096774193549;
Vim Script;Roff;0.8387096774193549;
Erlang;Inno Setup;0.8333333333333334;
Gnuplot;Common Lisp;0.8333333333333334;
M4;Lua;0.8333333333333334;
Erlang;Common Lisp;0.8333333333333334;
DIGITAL Command Language;Pawn;0.8333333333333334;
Jinja;Emacs Lisp;0.8333333333333334;
DIGITAL Command Language;PostScript;0.8333333333333334;
PLpgSQL;M4;0.8333333333333334;
PostScript;Common Lisp;0.8333333333333334;
Liquid;G-code;0.8333333333333334;
M4;PLpgSQL;0.8333333333333334;
Tcl;Jinja;0.8333333333333334;
Pawn;DIGITAL Command Language;0.8333333333333334;
Lua;M4;0.8333333333333334;
M4;Smarty;0.8333333333333334;
PostScript;DIGITAL Command Language;0.8333333333333334;
Raku;PLSQL;0.8333333333333334;
Common Lisp;PostScript;0.8333333333333334;
Inno Setup;Erlang;0.8333333333333334;
Puppet;G-code;0.8333333333333334;
Rust;Jinja;0.8333333333333334;
Rust;Haskell;0.8333333333333334;
OCaml;Erlang;0.8333333333333334;
Jinja;Haskell;0.8333333333333334;
Inno Setup;Common Lisp;0.8333333333333334;
Smarty;M4;0.8333333333333334;
Haskell;Rust;0.8333333333333334;
VBA;DIGITAL Command Language;0.8333333333333334;
Jinja;Rust;0.8333333333333334;
Perl;CMake;0.8285714285714286;
CMake;Perl;0.8285714285714286;
Smarty;Lua;0.8275862068965517;
Lua;GLSL;0.8275862068965517;
Perl;Awk;0.8275862068965517;
Lua;Vim Script;0.8275862068965517;
Perl;Lua;0.8275862068965517;
Lua;Perl;0.8275862068965517;
GLSL;Lua;0.8275862068965517;
Lua;Smarty;0.8275862068965517;
XSLT;Lua;0.8275862068965517;
Lua;XSLT;0.8275862068965517;
Awk;Perl;0.8275862068965517;
Vim Script;Lua;0.8275862068965517;
Tcl;Lex;0.8260869565217391;
Scheme;Prolog;0.8235294117647058;
Groovy;Mustache;0.8214285714285714;
TeX;XSLT;0.8214285714285714;
Groovy;PLpgSQL;0.8214285714285714;
