language_1;language_2;proximity;drop
AIDL;ActionScript;0.8461538461538461;1.0
AIDL;Standard ML;0.9230769230769231;1.0
AIDL;UnrealScript;0.9230769230769231;1.0
AIDL;XS;0.8666666666666667;1.0
AMPL;ActionScript;0.9090909090909091;1.0
AMPL;DTrace;0.9;1.0
AMPL;Liquid;0.8;1.0
AMPL;Logos;0.9;1.0
AMPL;OpenEdge ABL;0.8;1.0
ANTLR;Rebol;0.6842105263157895;1.0
ANTLR;Scheme;0.8947368421052632;1.0
ASP.NET;Roff;0.6590909090909091;1.0
Ada;DTrace;0.9;1.0
Apex;Brainfuck;0.75;1.0
Apex;Elm;0.75;1.0
AppleScript;AutoHotkey;0.9285714285714286;1.0
AppleScript;DIGITAL Command Language;0.9230769230769231;1.0
AppleScript;Pawn;0.9230769230769231;1.0
AppleScript;Scilab;0.9230769230769231;1.0
AppleScript;SourcePawn;0.9230769230769231;1.0
AppleScript;Standard ML;0.9230769230769231;1.0
Assembly;CMake;0.875;1.0
Assembly;Perl;0.9333333333333333;1.0
AutoHotkey;D;0.9285714285714286;1.0
AutoHotkey;Erlang;0.875;1.0
Awk;Emacs Lisp;0.9428571428571428;1.0
Awk;Haskell;0.8571428571428571;1.0
Awk;Objective-C++;0.9714285714285714;1.0
Awk;QMake;0.8285714285714286;1.0
Batchfile;Jupyter Notebook;0.85;1.0
Batchfile;Makefile;0.8852459016393442;1.0
Bicep;Brainfuck;0.42857142857142855;1.0
Blade;Vue;0.7868852459016393;1.0
Brainfuck;Nim;0.875;1.0
Brainfuck;RobotFramework;0.75;1.0
C;C++;0.9253731343283582;1.0
C;Makefile;0.921875;1.0
C;Objective-C;0.8636363636363636;1.0
C#;Dockerfile;0.8611111111111112;1.0
C++;C#;0.8656716417910447;1.0
CMake;Go;0.84;1.0
CSS;HTML;0.9629629629629629;1.0
CSS;JavaScript;0.9809523809523809;1.0
Clojure;Cuda;0.84;1.0
Clojure;GDB;0.92;1.0
Clojure;Mako;0.7777777777777778;1.0
Clojure;Raku;0.9230769230769231;1.0
Clojure;Svelte;0.88;1.0
CoffeeScript;Sass;0.8378378378378378;1.0
CoffeeScript;Solidity;0.8333333333333334;1.0
Common Lisp;Julia;0.8947368421052632;1.0
Common Lisp;Prolog;0.85;1.0
Common Lisp;Scheme;0.8947368421052632;1.0
Cython;Fortran;0.896551724137931;1.0
Cython;Pascal;0.8620689655172413;1.0
Cython;Tcl;0.8666666666666667;1.0
Cython;sed;0.8620689655172413;1.0
D;GDScript;0.7857142857142857;1.0
DTrace;LLVM;1.0;1.0
DTrace;Thrift;1.0;1.0
Dart;Swift;0.7741935483870968;1.0
Dockerfile;TypeScript;0.8767123287671232;1.0
EJS;Handlebars;0.8043478260869565;1.0
Elixir;Julia;0.8947368421052632;1.0
Elm;G-code;0.75;1.0
Elm;Liquid;0.8;1.0
Elm;Puppet;0.875;1.0
Erlang;F#;0.875;1.0
Erlang;Inno Setup;0.9375;1.0
Erlang;Nunjucks;0.875;1.0
Erlang;Vim Snippet;0.9411764705882353;1.0
Forth;OCaml;0.8571428571428571;1.0
FreeMarker;Meson;0.9;1.0
FreeMarker;SQLPL;0.8571428571428571;1.0
FreeMarker;Verilog;0.85;1.0
G-code;OpenSCAD;0.75;1.0
GAP;Mathematica;0.9;1.0
GAP;Meson;0.9;1.0
GAP;QML;0.8888888888888888;1.0
GAP;Vim Snippet;0.9444444444444444;1.0
GDB;Stylus;0.8333333333333334;1.0
GLSL;Gherkin;0.8780487804878049;1.0
GLSL;Groovy;0.926829268292683;1.0
GLSL;XSLT;0.926829268292683;1.0
Gnuplot;PostScript;0.9375;1.0
Gnuplot;VHDL;0.7333333333333333;1.0
Go;PowerShell;0.8679245283018868;1.0
Groovy;HCL;0.926829268292683;1.0
Groovy;Jinja;0.9024390243902439;1.0
Groovy;M4;0.926829268292683;1.0
Groovy;Mustache;0.9512195121951219;1.0
Groovy;PLpgSQL;0.926829268292683;1.0
Groovy;Scala;0.926829268292683;1.0
HLSL;Pug;0.8048780487804879;1.0
HLSL;ShaderLab;0.9523809523809523;1.0
HLSL;Smarty;0.8536585365853658;1.0
HLSL;XSLT;0.8780487804878049;1.0
Hack;Batchfile;0.8214285714285714;1.0
Handlebars;R;0.8444444444444444;1.0
Handlebars;Vim Script;0.8604651162790697;1.0
Java;PHP;0.927710843373494;1.0
Java;Python;0.8863636363636364;1.0
Java;SCSS;0.9397590361445783;1.0
JavaScript;Shell;0.8857142857142857;1.0
Jinja;Objective-C++;0.8947368421052632;1.0
Jinja;Sass;0.8421052631578947;1.0
Kotlin;Objective-C;0.9090909090909091;1.0
Kotlin;Swift;0.890625;1.0
Kotlin;Vue;0.875;1.0
Less;PowerShell;0.8888888888888888;1.0
Lex;Yacc;0.868421052631579;1.0
Logos;POV-Ray SDL;0.7777777777777778;1.0
Logos;SystemVerilog;1.0;1.0
Lua;Smarty;0.9;1.0
M;PostScript;0.9411764705882353;1.0
M;SWIG;0.9411764705882353;1.0
M;Scheme;0.8947368421052632;1.0
M;Visual Basic .NET;0.8235294117647058;1.0
M4;Yacc;0.9;1.0
MATLAB;Smarty;0.85;1.0
Mathematica;Processing;0.85;1.0
Meson;NASL;0.9047619047619048;1.0
Meson;Scheme;0.9;1.0
Mustache;Rust;0.9024390243902439;1.0
NASL;NSIS;0.9130434782608695;1.0
NSIS;Raku;0.8846153846153846;1.0
Nix;sed;0.8518518518518519;1.0
OCaml;Pawn;0.8571428571428571;1.0
Objective-C++;Tcl;0.8571428571428571;1.0
OpenEdge ABL;Stata;0.875;1.0
PLSQL;SQLPL;0.84;1.0
Pascal;Twig;0.7666666666666667;1.0
Perl;Roff;0.9555555555555556;1.0
PowerShell;Batchfile;0.8928571428571429;1.0
PowerShell;TSQL;0.7358490566037735;1.0
PureBasic;QML;0.8888888888888888;1.0
Python;Shell;0.9354838709677419;1.0
Raku;sed;0.9629629629629629;1.0
Roff;Smarty;0.8863636363636364;1.0
Roff;TeX;0.8863636363636364;1.0
Roff;Vim Script;0.9090909090909091;1.0
Ruby;SCSS;0.9;1.0
SCSS;TypeScript;0.8875;1.0
SmPL;XS;0.9375;1.0
Smalltalk;Tcl;0.8666666666666667;1.0
Smarty;Starlark;0.825;1.0
VBA;VBScript;0.875;1.0
VBScript;Vim Snippet;0.9411764705882353;1.0
SystemVerilog;Logos;1.0;
LLVM;DTrace;1.0;
Thrift;DTrace;1.0;
Thrift;LLVM;1.0;
LLVM;Thrift;1.0;
JavaScript;CSS;0.9809523809523809;
Objective-C++;Awk;0.9714285714285714;
HTML;CSS;0.9629629629629629;
sed;Raku;0.9629629629629629;
JavaScript;HTML;0.9629629629629629;
HTML;JavaScript;0.9629629629629629;
Roff;Perl;0.9555555555555556;
ShaderLab;HLSL;0.9523809523809523;
Mustache;Groovy;0.9512195121951219;
Vim Snippet;GAP;0.9444444444444444;
Emacs Lisp;Awk;0.9428571428571428;
SWIG;PostScript;0.9411764705882353;
Vim Snippet;Erlang;0.9411764705882353;
PostScript;M;0.9411764705882353;
PostScript;SWIG;0.9411764705882353;
Vim Snippet;VBScript;0.9411764705882353;
SWIG;M;0.9411764705882353;
SCSS;Java;0.9397590361445783;
